Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20230502 12:14:09.504 1 0 0 0 0 0 0 99 1 0 0 214 524 0 541 0 1.91 1.39 1.12 0 0
20230502 12:14:09.601 1 0 6 0 0 0 0 94 6 0 0 887 3928 0 541 0 1.91 1.39 1.12 0 0
20230502 12:14:09.704 0 0 0 0 0 0 0 100 0 0 0 1534 252 0 541 0 1.91 1.39 1.12 0 0
20230502 12:14:09.801 0 0 0 0 0 0 0 100 0 0 0 258 330 0 541 0 1.91 1.39 1.12 0 0
20230502 12:14:09.901 0 0 11 0 0 1 0 89 11 0 0 2870 5470 0 541 0 1.91 1.39 1.12 0 0
20230502 12:14:10.001 0 0 1 0 0 0 0 99 1 0 0 430 810 0 541 0 1.91 1.39 1.12 0 0
20230502 12:14:10.101 2 0 13 0 0 0 0 85 15 0 0 2910 10100 40 543 1 1.91 1.39 1.12 1 0
20230502 12:14:10.201 1 0 2 0 0 0 0 97 3 0 0 1750 2230 50 544 0 1.91 1.39 1.12 0 0
20230502 12:14:10.301 1 0 13 0 0 0 0 86 14 0 0 2570 8180 0 544 0 1.91 1.39 1.12 0 0
20230502 12:14:10.401 1 0 0 0 0 0 0 99 1 0 0 470 340 0 544 0 1.91 1.39 1.12 0 0
20230502 12:14:10.501 1 0 2 0 0 0 0 97 3 0 0 880 1490 30 545 1 1.91 1.39 1.12 1 0
20230502 12:14:10.601 1 0 6 0 0 0 0 92 8 0 0 1510 4990 0 544 0 1.91 1.39 1.12 2 0
20230502 12:14:10.701 0 0 1 0 0 0 0 99 1 0 0 1430 1010 0 544 0 1.91 1.39 1.12 0 0
20230502 12:14:10.801 0 0 0 0 0 1 0 99 1 0 0 370 640 0 544 0 1.91 1.39 1.12 0 0
20230502 12:14:10.901 4 0 16 0 0 0 0 80 20 0 0 3960 9080 50 547 2 1.91 1.39 1.12 2 0
20230502 12:14:11.001 7 0 6 0 0 0 0 87 13 0 0 3910 2040 0 547 2 1.91 1.39 1.12 2 0
20230502 12:14:11.101 8 0 16 0 0 1 0 76 24 0 0 4130 8920 0 547 2 1.91 1.39 1.12 2 0
20230502 12:14:11.201 6 0 6 0 0 0 0 87 13 0 0 4170 1480 30 544 2 1.91 1.39 1.12 3 0
20230502 12:14:11.301 7 0 22 0 0 0 0 71 29 0 0 4750 12200 0 544 2 1.91 1.39 1.12 2 0
20230502 12:14:11.401 6 0 7 0 0 0 0 87 13 0 0 4230 940 0 544 2 1.91 1.39 1.12 2 0
20230502 12:14:11.501 6 0 6 0 0 0 0 87 13 0 0 2700 380 0 544 2 1.91 1.39 1.12 2 0
20230502 12:14:11.601 7 0 11 0 0 0 0 82 18 0 0 2420 4890 0 544 2 1.91 1.39 1.12 2 0
20230502 12:14:11.701 7 0 5 0 0 4 0 84 16 0 0 4280 560 0 544 2 1.91 1.39 1.12 2 0
20230502 12:14:11.801 6 0 7 0 0 0 0 87 13 0 0 4210 880 0 544 2 1.91 1.39 1.12 2 0
20230502 12:14:11.901 8 0 14 0 0 0 0 77 23 0 0 4670 7720 120 547 2 1.91 1.39 1.12 2 0
20230502 12:14:12.001 7 0 7 0 0 0 0 86 14 0 0 4180 1000 0 547 2 1.91 1.39 1.12 2 0
20230502 12:14:12.101 8 0 11 0 0 0 0 80 20 0 0 4540 5530 0 547 2 1.91 1.39 1.12 2 0
20230502 12:14:12.201 6 0 7 0 0 0 0 87 13 0 0 4210 980 0 547 2 1.91 1.39 1.12 2 0
20230502 12:14:12.301 9 0 11 1 0 0 0 79 20 0 0 4870 8020 0 547 2 1.91 1.39 1.12 2 0
20230502 12:14:12.401 4 0 2 0 0 0 0 94 6 0 0 3330 3430 170 552 1 1.91 1.39 1.12 1 0
20230502 12:14:12.501 5 0 2 0 0 0 0 93 7 0 0 2280 2390 210 554 2 1.91 1.39 1.12 1 0
20230502 12:14:12.601 5 0 6 0 0 0 0 89 11 0 0 2000 5650 40 554 1 1.91 1.39 1.12 1 0
20230502 12:14:12.701 6 0 1 0 0 0 0 93 7 0 0 1300 760 0 554 1 1.91 1.39 1.12 1 0
20230502 12:14:12.801 6 0 1 0 0 0 0 93 7 0 0 760 880 30 555 1 1.91 1.39 1.12 1 0
20230502 12:14:12.901 6 0 9 0 0 1 0 84 16 0 0 3400 8050 100 551 1 1.91 1.39 1.12 1 0
20230502 12:14:13.001 6 0 1 0 0 1 0 92 8 0 0 1530 880 0 551 1 1.91 1.39 1.12 1 0
20230502 12:14:13.101 7 0 8 0 0 0 0 85 15 0 0 2710 6630 0 551 1 1.91 1.39 1.12 1 0
20230502 12:14:13.201 6 0 1 0 0 0 0 93 7 0 0 750 580 30 552 1 1.91 1.39 1.12 1 0
20230502 12:14:13.301 6 0 11 0 0 0 0 83 17 0 0 3360 10370 50 552 1 1.91 1.39 1.12 1 0
20230502 12:14:13.401 4 0 2 0 0 0 0 93 7 0 0 2400 1140 50 552 1 1.91 1.39 1.12 1 0
20230502 12:14:13.501 5 0 2 0 0 0 0 93 7 0 0 2230 2040 110 551 1 1.91 1.39 1.12 1 0
20230502 12:14:13.601 4 0 8 0 0 0 0 88 12 0 0 2720 4420 90 552 1 1.91 1.39 1.12 1 0
20230502 12:14:13.701 4 0 2 0 0 0 0 93 7 0 0 2410 1170 60 550 1 1.91 1.39 1.12 1 0
20230502 12:14:13.801 4 0 2 0 0 1 0 93 7 0 0 1800 980 60 552 1 1.91 1.39 1.12 1 0
20230502 12:14:13.901 6 0 12 0 0 0 0 82 18 0 0 3380 5870 50 552 1 1.91 1.39 1.12 1 0
20230502 12:14:14.001 5 0 2 0 0 1 0 93 7 0 0 1650 1370 70 551 1 1.76 1.37 1.12 1 0
20230502 12:14:14.101 5 0 9 0 0 0 0 86 14 0 0 3310 5920 50 551 1 1.76 1.37 1.12 1 0
20230502 12:14:14.201 4 0 3 0 0 0 0 94 6 0 0 1640 1200 50 551 1 1.76 1.37 1.12 1 0
20230502 12:14:14.301 7 0 11 0 0 0 0 81 19 0 0 3420 8200 80 552 1 1.76 1.37 1.12 1 0
20230502 12:14:14.401 4 0 2 0 0 1 0 93 7 0 0 2350 2320 220 550 1 1.76 1.37 1.12 1 0
20230502 12:14:14.501 6 0 2 0 0 1 0 91 9 0 0 2720 1190 80 554 2 1.76 1.37 1.12 2 0
20230502 12:14:14.601 6 0 8 0 0 1 0 85 15 0 0 4100 5500 80 554 1 1.76 1.37 1.12 1 0
20230502 12:14:14.701 6 0 2 0 0 0 0 93 7 0 0 2200 1590 40 554 1 1.76 1.37 1.12 2 0
20230502 12:14:14.801 6 0 1 0 0 0 0 93 7 0 0 660 670 0 554 1 1.76 1.37 1.12 1 0
20230502 12:14:14.901 6 0 11 0 0 0 0 83 17 0 0 3140 6570 0 554 1 1.76 1.37 1.12 1 0
20230502 12:14:15.001 6 0 1 0 0 0 0 93 7 0 0 670 740 20 555 1 1.76 1.37 1.12 1 0
20230502 12:14:15.101 6 0 8 0 0 1 0 86 14 0 0 3150 5820 30 554 1 1.76 1.37 1.12 1 0
20230502 12:14:15.201 6 0 1 0 0 0 0 93 7 0 0 620 610 0 554 1 1.76 1.37 1.12 1 0
20230502 12:14:15.301 8 0 9 0 0 0 0 83 17 0 0 2560 10780 260 555 2 1.76 1.37 1.12 2 0
20230502 12:14:15.401 5 0 2 0 0 0 0 93 7 0 0 1850 1080 50 553 1 1.76 1.37 1.12 1 0
20230502 12:14:15.501 6 0 1 0 0 0 0 94 6 0 0 1020 650 20 554 1 1.76 1.37 1.12 1 0
20230502 12:14:15.601 8 0 5 0 0 0 0 87 13 0 0 2060 3400 30 551 1 1.76 1.37 1.12 1 0
20230502 12:14:15.701 5 0 1 0 0 0 0 94 6 0 0 1270 400 10 551 1 1.76 1.37 1.12 1 0
20230502 12:14:15.801 4 0 3 0 0 1 0 93 7 0 0 1480 1020 50 552 1 1.76 1.37 1.12 1 0
20230502 12:14:15.901 6 0 12 0 0 0 0 82 18 0 0 4000 9750 360 552 1 1.76 1.37 1.12 1 0
20230502 12:14:16.001 6 0 1 0 0 0 0 93 7 0 0 1850 1520 30 551 1 1.76 1.37 1.12 1 0
20230502 12:14:16.101 4 0 11 0 0 1 0 84 16 0 0 3940 8250 360 548 1 1.76 1.37 1.12 1 0
20230502 12:14:16.201 7 0 0 0 0 0 0 93 7 0 0 1180 760 0 548 1 1.76 1.37 1.12 1 0
20230502 12:14:16.301 5 0 12 0 0 0 0 83 17 0 0 2600 11000 290 549 2 1.76 1.37 1.12 2 0
20230502 12:14:16.401 3 0 6 0 0 1 0 90 10 0 0 3130 3750 460 548 1 1.76 1.37 1.12 1 0
20230502 12:14:16.501 5 0 2 0 0 0 0 92 8 0 0 2790 1790 190 546 1 1.76 1.37 1.12 1 0
20230502 12:14:16.601 6 0 6 0 0 1 0 88 12 0 0 1730 3900 20 546 1 1.76 1.37 1.12 1 0
20230502 12:14:16.701 6 0 1 0 0 0 0 94 6 0 0 1470 660 0 546 1 1.76 1.37 1.12 1 0
20230502 12:14:16.801 6 0 1 0 0 0 0 93 7 0 0 550 380 0 546 1 1.76 1.37 1.12 1 0
20230502 12:14:16.901 9 0 9 0 0 1 0 81 19 0 0 3340 7720 140 549 1 1.76 1.37 1.12 1 0
20230502 12:14:17.001 6 0 1 0 0 0 0 93 7 0 0 920 700 0 549 1 1.76 1.37 1.12 1 0
20230502 12:14:17.101 7 0 6 0 0 0 0 87 13 0 0 2250 5820 0 549 1 1.76 1.37 1.12 1 0
20230502 12:14:17.201 6 0 1 0 0 0 0 93 7 0 0 520 360 0 549 1 1.76 1.37 1.12 1 0
20230502 12:14:17.301 7 0 6 0 0 0 0 87 13 0 0 3170 8490 30 549 1 1.76 1.37 1.12 1 0
20230502 12:14:17.401 6 0 1 0 0 0 0 92 8 0 0 940 1240 0 549 1 1.76 1.37 1.12 1 0
20230502 12:14:17.501 6 0 1 0 0 0 0 94 6 0 0 540 440 0 549 1 1.76 1.37 1.12 1 0
20230502 12:14:17.601 6 0 6 0 0 0 0 87 13 0 0 1130 4510 0 549 1 1.76 1.37 1.12 1 0
20230502 12:14:17.701 6 0 1 0 0 0 0 93 7 0 0 1290 320 0 549 1 1.76 1.37 1.12 1 0
20230502 12:14:17.801 6 0 1 0 0 0 0 93 7 0 0 520 280 0 549 1 1.76 1.37 1.12 1 0
20230502 12:14:17.901 7 0 10 0 0 0 0 83 17 0 0 3020 7640 60 549 2 1.76 1.37 1.12 2 0
20230502 12:14:18.001 7 0 1 0 0 0 0 92 8 0 0 1780 1390 70 546 1 1.76 1.37 1.12 1 0
20230502 12:14:18.101 3 0 11 0 0 0 0 86 14 0 0 3810 6520 30 547 1 1.76 1.37 1.12 1 0
