Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot
20230502 12:31:16.223 10 0 5 0 0 5 0 81 19 0 0 4417 7667 0 537 1 1.85 1.07 1.09 1 0
20230502 12:31:16.231 8 0 0 0 0 8 0 85 15 0 0 3875 6000 0 537 3 1.85 1.07 1.09 1 0
20230502 12:31:16.244 10 0 0 0 0 0 0 90 10 0 0 3692 7538 0 537 1 1.85 1.07 1.09 1 0
20230502 12:31:16.251 9 0 0 0 0 0 0 91 9 0 0 3857 7571 0 537 2 1.85 1.07 1.09 2 0
20230502 12:31:16.263 10 0 5 0 0 0 0 86 14 0 0 2750 7833 83 538 2 1.85 1.07 1.09 2 0
20230502 12:31:16.271 8 0 8 0 0 0 0 83 17 0 0 1875 2250 0 538 2 1.85 1.07 1.09 2 0
20230502 12:31:16.284 10 0 0 0 0 0 0 90 10 0 0 6538 2231 77 539 1 1.85 1.07 1.09 1 0
20230502 12:31:16.291 0 0 8 0 0 0 0 92 8 0 0 1429 857 0 539 1 1.85 1.07 1.09 1 0
20230502 12:31:16.304 0 0 0 0 0 0 0 100 0 0 0 1692 615 0 539 1 1.85 1.07 1.09 1 0
20230502 12:31:16.311 9 0 0 0 0 0 0 91 9 0 0 1571 571 0 539 1 1.85 1.07 1.09 1 0
20230502 12:31:16.324 5 0 5 0 0 0 0 90 10 0 0 2385 4154 0 539 2 1.85 1.07 1.09 3 0
20230502 12:31:16.331 15 0 0 0 0 8 0 77 23 0 0 3143 12142 0 539 2 1.85 1.07 1.09 2 0
20230502 12:31:16.343 14 0 0 0 0 0 0 86 14 0 0 2583 9667 0 539 2 1.85 1.07 1.09 2 0
20230502 12:31:16.351 8 0 0 0 0 0 0 92 8 0 0 1750 3125 0 539 3 1.85 1.07 1.09 3 0
20230502 12:31:16.364 10 0 60 0 0 0 0 30 70 0 0 7077 52461 0 539 6 1.85 1.07 1.09 6 0
20230502 12:31:16.371 20 0 0 0 0 0 0 80 20 0 0 8571 31572 0 539 3 1.85 1.07 1.09 1 0
20230502 12:31:16.382 6 0 0 0 0 0 0 94 6 0 0 4909 11546 0 539 2 1.85 1.07 1.09 2 0
20230502 12:31:16.391 19 0 0 0 0 6 0 75 25 0 0 7111 9778 0 539 1 1.85 1.07 1.09 1 0
20230502 12:31:16.404 10 0 0 0 0 0 0 90 10 0 0 4231 8308 0 539 1 1.85 1.07 1.09 1 0
20230502 12:31:16.411 17 0 0 0 0 0 0 83 17 0 0 4429 8714 0 539 2 1.85 1.07 1.09 3 0
20230502 12:31:16.424 5 0 0 0 0 0 0 95 5 0 0 2538 8077 0 539 1 1.85 1.07 1.09 2 0
20230502 12:31:16.431 9 0 0 0 0 0 0 91 9 0 0 2429 9143 0 539 2 1.85 1.07 1.09 1 0
20230502 12:31:16.444 5 0 5 0 0 0 0 90 10 0 0 2462 8692 0 539 2 1.85 1.07 1.09 2 0
20230502 12:31:16.451 9 0 0 0 0 0 0 91 9 0 0 2571 9714 0 539 2 1.85 1.07 1.09 2 0
20230502 12:31:16.464 10 0 0 0 0 0 0 90 10 0 0 3846 8538 0 539 1 1.85 1.07 1.09 1 0
20230502 12:31:16.471 0 0 0 0 0 0 0 100 0 0 0 2571 9571 0 539 1 1.85 1.07 1.09 3 0
20230502 12:31:16.483 11 0 0 0 0 0 0 89 11 0 0 3917 8917 0 539 2 1.85 1.07 1.09 2 0
20230502 12:31:16.491 8 0 0 0 0 0 0 92 8 0 0 2375 8125 0 539 2 1.85 1.07 1.09 1 0
20230502 12:31:16.503 10 0 5 0 0 0 0 85 15 0 0 2417 8000 0 539 1 1.85 1.07 1.09 1 0
20230502 12:31:16.511 8 0 0 0 0 0 0 92 8 0 0 2625 9000 0 539 3 1.85 1.07 1.09 2 0
20230502 12:31:16.524 14 0 0 0 0 0 0 86 14 0 0 2615 9077 0 539 2 1.85 1.07 1.09 1 0
20230502 12:31:16.531 9 0 0 0 0 0 0 91 9 0 0 4429 8571 0 539 2 1.85 1.07 1.09 1 0
20230502 12:31:16.544 0 0 0 0 0 0 0 100 0 0 0 2385 8385 0 539 4 1.85 1.07 1.09 2 0
