Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20230511 10:04:33.804 39 0 18 0 0 0 0 43 57 0 0 3447 1427 0 597 9 2.59 3.62 4.01 9 0 68 29 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 10:04:33.901 43 0 16 0 0 0 0 41 59 0 0 4278 7557 0 597 9 2.59 3.62 4.01 9 0 93 31 8 4 0 10 0 0 0 0 0 0 0 0 0 0 0 0
20230511 10:04:34.001 42 0 20 0 0 0 0 38 62 0 0 4290 2400 120 600 9 2.59 3.62 4.01 9 0 50 30 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 10:04:34.101 46 0 11 0 0 0 0 43 57 0 0 3520 1190 0 600 9 2.59 3.62 4.01 9 0 70 20 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 10:04:34.201 42 0 15 0 0 0 0 43 57 0 0 3170 1280 0 600 9 2.59 3.62 4.01 9 0 170 40 13 4 0 20 0 0 0 0 0 0 0 0 0 0 0 0
20230511 10:04:34.301 39 0 18 0 0 0 0 43 57 0 0 3080 1140 0 600 9 2.59 3.62 4.01 9 0 80 20 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 10:04:34.401 42 0 18 0 0 0 0 41 59 0 0 4100 10310 160 602 10 2.59 3.62 4.01 10 0 40 20 4 2 0 10 0 0 0 0 0 0 0 0 0 0 0 0
20230511 10:04:34.501 41 0 16 0 0 0 0 42 58 0 0 4130 2000 120 600 9 2.59 3.62 4.01 9 0 40 30 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 10:04:34.601 40 0 17 0 0 0 0 43 57 0 0 3020 1120 0 600 9 2.59 3.62 4.01 9 0 100 30 8 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 10:04:34.701 40 0 20 0 0 0 0 39 61 0 0 4380 7630 290 600 9 2.59 3.62 4.01 9 0 190 30 13 4 0 170 0 0 0 0 0 0 0 0 0 0 0 0
