Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20230511 16:01:20.305 23 0 2 0 0 1 0 74 26 0 0 1596 2452 0 374 4 2.20 1.09 0.48 4 0 48 10 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:20.401 25 0 4 0 0 0 0 71 29 0 0 2490 2719 42 376 5 2.20 1.09 0.48 5 0 21 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:20.505 25 0 3 0 0 0 0 72 28 0 0 2962 1413 48 377 4 2.20 1.09 0.48 4 0 29 10 2 1 0 19 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:20.601 24 0 1 0 0 0 0 75 25 0 0 1927 1563 0 377 4 2.20 1.09 0.48 4 0 52 31 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:20.705 24 0 2 0 0 1 0 73 27 0 0 2558 1702 0 377 4 2.20 1.09 0.48 5 0 106 29 8 3 0 19 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:20.801 24 0 2 0 0 0 0 75 25 0 0 1990 1292 0 377 4 2.20 1.09 0.48 5 0 146 21 10 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:20.901 24 0 2 0 0 0 0 74 26 0 0 1780 1090 0 377 4 2.20 1.09 0.48 4 0 50 10 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:21.001 25 0 0 0 0 0 0 75 25 0 0 1520 540 0 377 4 2.20 1.09 0.48 4 0 20 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:21.101 24 0 1 0 0 1 0 74 26 0 0 1600 490 0 377 4 2.20 1.09 0.48 4 0 20 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:21.201 22 0 2 0 0 0 0 75 25 0 0 1620 340 0 377 4 2.20 1.09 0.48 4 0 110 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:21.301 22 0 3 0 0 0 0 74 26 0 0 1600 340 0 377 4 2.20 1.09 0.48 4 0 40 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:21.401 22 0 6 0 0 1 0 71 29 0 0 2340 1970 0 377 4 2.20 1.09 0.48 4 0 20 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:21.501 25 0 1 0 0 1 0 73 27 0 0 2850 1180 30 374 4 2.20 1.09 0.48 4 0 10 0 1 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:21.601 24 0 2 0 0 0 0 74 26 0 0 1970 2260 0 374 4 2.20 1.09 0.48 4 0 140 10 9 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:21.701 22 0 4 0 0 0 0 74 26 0 0 2270 900 0 374 4 2.20 1.09 0.48 4 0 30 0 2 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:21.801 21 0 4 0 0 0 0 75 25 0 0 1740 940 0 374 4 2.20 1.09 0.48 4 0 30 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:21.901 23 0 2 0 0 0 0 75 25 0 0 1510 350 0 374 4 2.20 1.09 0.48 4 0 30 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:22.001 25 0 1 0 0 0 0 75 25 0 0 1540 1830 0 374 4 2.20 1.09 0.48 4 0 70 0 4 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:22.101 24 0 3 0 0 1 0 73 27 0 0 1900 1010 10 374 4 2.20 1.09 0.48 4 0 110 20 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:22.201 26 0 0 0 0 0 0 74 26 0 0 1670 440 0 374 4 2.20 1.09 0.48 4 0 0 10 0 1 0 10 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:22.301 24 0 1 0 0 0 0 75 25 0 0 1770 890 0 374 5 2.20 1.09 0.48 5 0 70 10 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:22.401 26 0 4 0 0 0 0 71 29 0 0 2380 2180 0 374 4 2.20 1.09 0.48 4 0 0 20 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:22.501 26 0 0 0 0 0 0 74 26 0 0 1940 690 0 374 4 2.20 1.09 0.48 4 0 40 10 6 1 0 20 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:22.601 25 0 1 0 0 0 0 74 26 0 0 1570 660 0 374 4 2.20 1.09 0.48 4 0 70 40 48 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:22.701 26 0 0 0 0 1 0 73 27 0 0 2390 820 0 374 4 2.20 1.09 0.48 4 0 40 40 7 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:22.801 24 0 1 0 0 0 0 74 26 0 0 1840 880 0 374 4 2.20 1.09 0.48 4 0 50 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:22.901 25 0 1 0 0 0 0 75 25 0 0 1570 300 0 374 4 2.20 1.09 0.48 4 0 10 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:23.001 25 0 1 0 0 0 0 74 26 0 0 1530 640 0 374 4 2.20 1.09 0.48 4 0 10 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:23.101 24 0 1 0 0 1 0 75 25 0 0 1550 470 0 374 4 2.20 1.09 0.48 4 0 20 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:23.201 25 0 1 0 0 0 0 75 25 0 0 1400 220 0 374 4 2.34 1.14 0.50 4 0 30 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:23.301 24 0 1 0 0 0 0 75 25 0 0 1540 500 0 374 4 2.34 1.14 0.50 4 0 20 0 1 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:23.401 25 0 3 0 0 0 0 72 28 0 0 2320 2820 0 374 4 2.34 1.14 0.50 4 0 30 0 2 0 0 0 0 0 0 0 20 20 0 1000 1000 0 230 230
20230511 16:01:23.501 25 0 0 0 0 2 0 73 27 0 0 2320 860 0 374 4 2.34 1.14 0.50 4 0 70 50 5 4 0 10 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:23.601 25 0 1 0 0 0 0 74 26 0 0 1490 540 0 374 4 2.34 1.14 0.50 4 0 30 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:23.701 25 0 0 0 0 0 0 75 25 0 0 2350 640 0 374 4 2.34 1.14 0.50 4 0 90 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:23.801 24 0 2 0 0 0 0 74 26 0 0 1750 1140 0 374 4 2.34 1.14 0.50 4 0 10 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:23.901 24 0 1 0 0 0 0 75 25 0 0 1580 490 0 374 4 2.34 1.14 0.50 4 0 40 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:24.001 25 0 0 0 0 0 0 75 25 0 0 1540 1920 0 374 4 2.34 1.14 0.50 4 0 40 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:24.101 25 0 1 0 0 0 0 74 26 0 0 1650 1520 0 374 4 2.34 1.14 0.50 4 0 120 10 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:24.201 23 0 2 0 0 1 0 75 25 0 0 1460 260 0 374 4 2.34 1.14 0.50 4 0 10 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:24.301 26 0 0 0 0 0 0 74 26 0 0 1710 720 0 374 4 2.34 1.14 0.50 4 0 90 10 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:24.401 23 0 5 0 0 0 0 72 28 0 0 2370 2850 0 374 4 2.34 1.14 0.50 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:24.501 25 0 0 0 0 1 0 74 26 0 0 1770 500 0 374 4 2.34 1.14 0.50 4 0 40 0 2 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:24.601 24 0 2 1 0 0 0 74 25 0 0 1560 760 0 374 4 2.34 1.14 0.50 4 0 30 0 2 0 0 0 0 0 0 0 60 60 0 1960 1960 0 430 430
20230511 16:01:24.701 25 0 1 0 0 0 0 74 26 0 0 2360 850 0 374 4 2.34 1.14 0.50 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:24.801 24 0 2 0 0 1 0 73 27 0 0 1800 1070 0 374 4 2.34 1.14 0.50 4 0 40 10 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 16:01:24.901 24 0 1 0 0 0 0 75 25 0 0 1640 440 0 374 4 2.34 1.14 0.50 4 0 20 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
