Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20230511 09:30:10.705 11 0 5 24 0 0 0 61 16 0 0 24375 5260 0 568 11 2.05 2.08 1.36 8 7 10 0 1 0 0 0 0 0 0 48 490 538 192 114154 114346 10 5490 5500
20230511 09:30:10.801 13 0 5 30 0 1 0 52 18 0 0 6969 4740 0 568 2 2.05 2.08 1.36 2 7 21 0 1 0 0 0 0 0 0 21 271 292 125 78875 79000 0 1156 1156
20230511 09:30:10.901 9 0 3 26 0 0 0 62 12 0 0 12300 3870 120 571 0 2.05 2.08 1.36 0 9 30 0 2 0 0 0 0 0 0 20 670 690 120 114520 114640 10 2410 2420
20230511 09:30:11.001 6 0 1 27 0 0 0 67 6 0 0 27890 2500 0 571 1 2.05 2.08 1.36 1 8 130 0 8 0 0 0 0 0 0 0 580 580 0 88320 88320 30 7110 7140
20230511 09:30:11.101 15 0 0 18 0 1 0 66 15 0 0 20520 790 0 571 1 2.05 2.08 1.36 7 2 20 0 1 0 0 0 0 0 0 30 360 390 360 131960 132320 30 3030 3060
20230511 09:30:11.201 11 0 8 21 0 0 0 60 19 0 0 62020 9310 0 571 0 2.05 2.08 1.36 0 9 50 0 3 0 0 0 0 0 0 1940 1970 3910 24040 740881 764921 4240 14950 19190
20230511 09:30:11.301 10 0 10 20 0 0 0 60 20 0 0 41160 21940 0 571 2 2.05 2.08 1.36 3 6 40 0 2 0 0 0 0 0 0 2480 2090 4570 52120 587599 639719 10600 12210 22810
20230511 09:30:11.401 10 0 7 22 0 0 0 60 18 0 0 41050 13570 0 571 1 2.05 2.08 1.36 1 8 10 0 1 0 0 0 0 0 0 3720 2460 6180 68320 913321 981641 13210 14880 28090
20230511 09:30:11.501 25 0 4 10 0 0 0 62 28 0 0 37210 12630 0 571 5 2.05 2.08 1.36 4 5 20 10 1 1 0 0 0 0 0 1500 2770 4270 29160 823841 853001 5720 6180 11900
20230511 09:30:11.601 30 0 7 14 0 0 0 49 37 0 0 14970 12880 0 571 5 2.05 2.08 1.36 5 5 20 0 1 0 0 0 0 0 0 260 1330 1590 5840 279520 285360 1200 2250 3450
20230511 09:30:11.701 29 0 1 7 0 0 0 63 30 0 0 25110 12580 0 571 3 2.05 2.08 1.36 9 4 70 20 6 2 0 0 0 0 0 370 2740 3110 7640 721161 728801 1800 2290 4090
