Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20230511 08:56:45.504 45 0 22 0 0 0 0 32 68 0 0 5029 2243 117 406 13 2.02 3.22 3.91 13 0 29 0 2 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0
20230511 08:56:45.601 41 0 24 0 0 0 0 35 65 0 0 4134 1289 0 406 13 2.02 3.22 3.91 13 0 10 0 1 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0
20230511 08:56:45.704 50 0 16 0 0 0 0 35 65 0 0 4175 1524 0 406 13 2.02 3.22 3.91 13 0 39 10 2 1 0 39 0 0 0 0 0 0 0 0 0 0 0 0
20230511 08:56:45.801 46 0 19 0 0 0 0 35 65 0 0 4175 1351 0 406 13 2.02 3.22 3.91 13 0 10 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 08:56:45.901 44 0 21 0 0 0 0 34 66 0 0 4010 1590 0 406 13 2.02 3.22 3.91 13 0 20 0 1 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0
20230511 08:56:46.001 46 0 20 0 0 0 0 35 65 0 0 3950 1380 0 406 13 2.02 3.22 3.91 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 08:56:46.101 46 0 19 0 0 0 0 34 66 0 0 4010 1520 0 406 13 2.02 3.22 3.91 13 0 10 0 1 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0
20230511 08:56:46.201 46 0 18 0 0 0 0 35 65 0 0 4250 1610 0 406 13 2.02 3.22 3.91 13 0 50 0 3 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0
20230511 08:56:46.301 46 0 18 0 0 0 0 35 65 0 0 4040 1470 0 406 13 2.02 3.22 3.91 13 0 40 0 2 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0
20230511 08:56:46.401 47 0 18 0 0 0 0 34 66 0 0 4080 1360 0 406 13 2.02 3.22 3.91 13 0 30 0 2 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0
20230511 08:56:46.501 46 0 20 0 0 0 0 34 66 0 0 4420 2220 90 403 13 2.02 3.22 3.91 13 0 40 0 2 0 0 40 0 10 0 0 0 0 0 0 0 0 0 0
20230511 08:56:46.601 45 0 21 0 0 0 0 35 65 0 0 4600 2010 0 403 13 2.02 3.22 3.91 13 0 70 30 6 3 0 30 0 0 0 0 0 0 0 0 0 0 0 0
20230511 08:56:46.701 46 0 19 0 0 0 0 34 66 0 0 4260 1720 0 403 13 2.02 3.22 3.91 13 0 140 20 10 2 0 100 0 0 0 0 0 0 0 0 0 0 0 0
20230511 08:56:46.801 44 0 20 0 0 0 0 35 65 0 0 4230 1930 0 403 13 2.02 3.22 3.91 13 0 150 20 10 2 0 110 0 0 0 0 0 0 0 0 0 0 0 0
20230511 08:56:46.901 44 0 22 0 0 0 0 34 66 0 0 4260 2330 0 403 13 2.02 3.22 3.91 13 0 40 20 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20230511 08:56:47.001 11 0 6 4 0 0 0 79 17 0 0 3820 4950 0 403 0 2.02 3.22 3.91 0 11 60 30 6 4 0 10 0 0 0 40 1520 1560 160 252600 252760 0 2080 2080
