Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20230511 07:58:11.504 47 0 1 5 0 0 0 47 48 0 0 64136 5631 0 386 9 2.60 1.80 0.98 9 2 19 0 1 0 0 19 0 0 0 466 1155 1621 6447 305476 311923 1010 6107 7117
20230511 07:58:11.601 45 0 1 3 0 0 0 52 45 0 0 4103 3732 0 386 9 2.60 1.80 0.98 9 2 21 0 1 0 0 21 0 0 0 72 701 773 1278 358927 360206 278 0 278
20230511 07:58:11.704 45 0 2 1 0 0 0 51 48 0 0 240058 3573 0 386 9 2.60 1.80 0.98 9 2 39 0 2 0 0 39 0 0 0 29 689 718 621 356505 357126 97 26010 26107
20230511 07:58:11.801 45 0 1 2 0 0 0 53 45 0 0 130928 3392 0 386 9 2.60 1.80 0.98 10 1 10 0 1 0 0 10 0 0 0 103 567 670 2227 285525 287752 464 13990 14454
20230511 07:58:11.901 45 0 1 1 0 0 0 53 46 0 0 4370 4680 20 387 12 2.60 1.80 0.98 11 2 10 10 1 1 0 10 0 0 0 310 630 940 5680 324000 329680 1110 0 1110
20230511 07:58:12.001 48 0 0 2 0 0 0 50 48 0 0 5300 5830 10 386 10 2.60 1.80 0.98 11 2 80 40 9 5 0 20 0 0 0 310 810 1120 5600 325720 331320 1110 0 1110
20230511 07:58:12.101 45 0 1 1 0 0 0 54 46 0 0 4220 4100 0 386 9 2.60 1.80 0.98 9 2 90 20 5 3 0 60 0 0 0 260 650 910 5560 334400 339960 1170 0 1170
20230511 07:58:12.201 45 0 1 1 0 0 0 54 45 0 0 4040 4270 0 386 9 2.60 1.80 0.98 10 2 30 20 3 1 0 10 0 0 0 250 670 920 4720 341440 346160 930 0 930
20230511 07:58:12.301 45 0 0 1 0 0 0 54 45 0 0 4240 4380 0 386 9 2.60 1.80 0.98 10 2 190 40 13 4 0 150 0 0 0 280 650 930 5840 334400 340240 1180 0 1180
20230511 07:58:12.401 45 0 1 2 0 0 0 52 46 0 0 4170 4410 0 386 9 2.60 1.80 0.98 9 2 30 10 2 1 0 20 0 0 0 280 670 950 2680 341440 344120 350 0 350
20230511 07:58:12.501 45 0 1 0 0 0 0 54 46 0 0 3870 3950 10 387 9 2.60 1.80 0.98 9 2 20 0 1 0 0 20 0 0 0 240 650 890 4600 334400 339000 950 0 950
20230511 07:58:12.601 45 0 0 4 0 0 0 50 46 0 0 3780 3040 0 387 9 2.60 1.80 0.98 9 2 10 0 1 0 0 10 0 10 0 30 550 580 760 280000 280760 160 0 160
