Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20230510 01:24:19.804 47 0 14 0 0 0 0 40 60 0 0 20282 128282 0 401 17 1.23 4.36 7.35 7 0 612 0 36 0 0 592 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:19.901 59 0 12 0 0 0 0 29 71 0 0 17474 265041 0 401 16 1.23 4.36 7.35 18 0 711 10 42 1 0 701 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:20.001 66 0 14 0 0 0 0 20 80 0 0 24430 283690 0 401 14 1.23 4.36 7.35 23 0 450 40 28 4 0 420 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:20.101 70 0 11 0 0 0 0 19 81 0 0 22920 305810 40 401 20 1.23 4.36 7.35 21 0 710 10 42 1 0 700 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:20.201 70 0 12 0 0 0 0 18 82 0 0 22310 329770 70 398 12 1.23 4.36 7.35 20 0 480 40 30 4 0 440 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:20.301 65 0 15 0 0 1 0 19 81 0 0 23310 328580 0 398 8 1.23 4.36 7.35 22 0 740 20 45 2 0 700 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:20.401 66 0 13 0 0 0 0 21 79 0 0 20610 323900 0 398 24 1.23 4.36 7.35 24 0 640 20 39 2 0 600 0 10 0 0 0 0 0 0 0 0 0 0
20230510 01:24:20.501 68 0 13 0 0 0 0 19 81 0 0 22880 346000 0 398 24 1.23 4.36 7.35 20 0 760 30 46 3 0 720 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:20.601 61 0 18 0 0 0 0 21 79 0 0 23200 362379 0 398 9 1.23 4.36 7.35 11 0 710 30 44 4 0 640 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:20.701 65 0 15 0 0 0 0 20 80 0 0 23040 371820 0 398 17 1.23 4.36 7.35 16 0 710 10 43 1 0 670 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:20.801 71 0 10 0 0 0 0 19 81 0 0 21860 371829 0 398 17 1.23 4.36 7.35 22 0 650 20 39 2 0 610 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:20.901 67 0 13 0 0 0 0 20 80 0 0 19750 366170 0 398 14 1.23 4.36 7.35 24 0 880 20 52 3 0 850 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:21.001 67 0 14 0 0 0 0 18 82 0 0 19670 362760 0 398 24 1.23 4.36 7.35 17 0 410 30 26 4 0 370 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:21.101 67 0 14 0 0 0 0 19 81 0 0 21730 354109 0 398 17 1.23 4.36 7.35 20 0 1050 20 62 2 0 1020 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:21.201 66 0 14 0 0 0 0 20 80 0 0 19990 355810 0 398 13 1.23 4.36 7.35 21 0 610 0 36 0 0 600 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:21.301 70 0 13 0 0 0 0 17 83 0 0 20270 352299 0 398 21 1.23 4.36 7.35 10 0 450 0 26 0 0 450 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:21.401 69 0 13 0 0 0 0 18 82 0 0 21370 334790 0 398 24 1.23 4.36 7.35 23 0 710 0 42 0 0 710 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:21.501 67 0 16 0 0 0 0 17 83 0 0 22510 338100 0 398 22 1.23 4.36 7.35 14 0 810 10 48 1 0 800 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:21.601 72 0 11 0 0 0 0 16 84 0 0 23590 329100 0 398 21 1.23 4.36 7.35 14 0 430 0 25 0 0 430 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:21.701 69 0 14 0 0 0 0 17 83 0 0 20170 334640 0 398 18 1.23 4.36 7.35 20 0 380 0 22 0 0 380 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:21.801 71 0 14 0 0 0 0 15 85 0 0 22160 334630 0 398 7 1.23 4.36 7.35 7 0 640 0 37 0 0 640 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:21.901 66 0 19 0 0 0 0 16 84 0 0 20380 324100 0 398 23 1.23 4.36 7.35 17 0 920 40 57 8 0 860 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:22.001 69 0 13 0 0 0 0 17 83 0 0 22010 323490 10 399 24 1.23 4.36 7.35 24 0 840 10 50 1 0 800 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:22.101 68 0 13 0 0 0 0 19 81 0 0 21430 324700 0 399 24 1.23 4.36 7.35 23 0 780 0 46 0 0 780 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:22.201 69 0 14 0 0 0 0 17 83 0 0 21740 348740 0 399 24 1.23 4.36 7.35 9 0 480 0 28 0 0 480 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:22.301 67 0 15 0 0 0 0 18 82 0 0 21700 340210 0 399 22 1.23 4.36 7.35 23 0 600 0 35 0 0 600 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:22.401 71 0 13 0 0 0 0 17 83 0 0 22120 339120 0 399 14 1.23 4.36 7.35 21 0 740 0 43 0 0 740 0 10 0 0 0 0 0 0 0 0 0 0
20230510 01:24:22.501 70 0 13 0 0 0 0 18 82 0 0 22140 333190 0 399 23 1.23 4.36 7.35 9 0 660 0 39 0 0 660 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:22.601 66 0 17 0 0 0 0 17 83 0 0 21690 339890 0 399 21 1.23 4.36 7.35 7 0 840 0 49 0 0 840 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:22.701 62 0 20 0 0 0 0 17 83 0 0 21330 347160 0 399 17 1.23 4.36 7.35 24 0 800 10 48 1 0 790 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:22.801 69 0 16 0 0 0 0 16 84 0 0 20580 333110 0 399 18 1.23 4.36 7.35 23 0 610 10 37 1 0 580 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:22.901 68 0 15 0 0 0 0 17 83 0 0 21640 331600 0 399 16 1.23 4.36 7.35 21 0 780 0 46 0 0 780 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:23.001 66 0 18 0 0 0 0 15 85 0 0 18990 346520 0 399 10 3.06 4.68 7.44 20 0 590 0 35 0 0 590 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:23.101 68 0 15 0 0 0 0 17 83 0 0 18700 354609 0 399 24 3.06 4.68 7.44 15 0 890 0 52 0 0 890 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:23.201 70 0 11 0 0 0 0 18 82 0 0 20670 357790 0 399 11 3.06 4.68 7.44 11 0 520 0 31 0 0 510 0 0 0 0 0 0 0 0 0 0 0 0
20230510 01:24:23.301 66 0 15 0 0 0 0 20 80 0 0 23000 357789 0 399 22 3.06 4.68 7.44 19 0 660 10 39 1 0 660 0 0 0 0 0 0 0 0 0 0 0 0
