Time, KB_Written
[2023-05-02 18:04:51] 1200323852
[2023-05-02 18:04:52] 300
[2023-05-02 18:04:53] 0
[2023-05-02 18:04:54] 0
[2023-05-02 18:04:55] 4
[2023-05-02 18:04:56] 64
[2023-05-02 18:04:57] 260
[2023-05-02 18:04:58] 0
[2023-05-02 18:04:59] 0
[2023-05-02 18:05:00] 264
[2023-05-02 18:05:01] 52
[2023-05-02 18:05:02] 704
[2023-05-02 18:05:03] 0
[2023-05-02 18:05:04] 0
[2023-05-02 18:05:05] 0
[2023-05-02 18:05:06] 24
[2023-05-02 18:05:07] 472
[2023-05-02 18:05:08] 0
[2023-05-02 18:05:09] 0
[2023-05-02 18:05:10] 0
[2023-05-02 18:05:11] 516616
[2023-05-02 18:05:12] 208
[2023-05-02 18:05:13] 0
[2023-05-02 18:05:14] 0
[2023-05-02 18:05:15] 0
[2023-05-02 18:05:16] 199968
[2023-05-02 18:05:17] 995364
[2023-05-02 18:05:18] 98284
[2023-05-02 18:05:19] 0
[2023-05-02 18:05:20] 0
[2023-05-02 18:05:21] 0
[2023-05-02 18:05:22] 164
[2023-05-02 18:05:23] 0
[2023-05-02 18:05:24] 0
[2023-05-02 18:05:25] 0
[2023-05-02 18:05:26] 0
[2023-05-02 18:05:27] 216312
[2023-05-02 18:05:28] 0
[2023-05-02 18:05:29] 0
[2023-05-02 18:05:30] 0
[2023-05-02 18:05:31] 0
[2023-05-02 18:05:32] 196
[2023-05-02 18:05:33] 0
[2023-05-02 18:05:34] 0
[2023-05-02 18:05:35] 0
[2023-05-02 18:05:36] 0
[2023-05-02 18:05:37] 376
[2023-05-02 18:05:38] 0
[2023-05-02 18:05:39] 0
[2023-05-02 18:05:40] 0
[2023-05-02 18:05:41] 248264
[2023-05-02 18:05:42] 100072
[2023-05-02 18:05:43] 132208
[2023-05-02 18:05:44] 65968
[2023-05-02 18:05:45] 101680
[2023-05-02 18:05:46] 0
[2023-05-02 18:05:47] 120
[2023-05-02 18:05:48] 240
[2023-05-02 18:05:49] 0
[2023-05-02 18:05:50] 100
[2023-05-02 18:05:51] 0
[2023-05-02 18:05:52] 116
[2023-05-02 18:05:53] 0
[2023-05-02 18:05:54] 0
[2023-05-02 18:05:55] 132352
[2023-05-02 18:05:56] 83952
[2023-05-02 18:05:57] 372
[2023-05-02 18:05:58] 0
[2023-05-02 18:05:59] 0
[2023-05-02 18:06:00] 0
[2023-05-02 18:06:01] 72
[2023-05-02 18:06:02] 156
[2023-05-02 18:06:03] 0
[2023-05-02 18:06:04] 348
[2023-05-02 18:06:05] 0
[2023-05-02 18:06:06] 20
[2023-05-02 18:06:07] 112
[2023-05-02 18:06:08] 0
[2023-05-02 18:06:09] 216356
[2023-05-02 18:06:10] 131960
[2023-05-02 18:06:11] 65976
[2023-05-02 18:06:12] 132048
[2023-05-02 18:06:13] 65980
[2023-05-02 18:06:14] 132016
[2023-05-02 18:06:15] 77500
[2023-05-02 18:06:16] 120436
[2023-05-02 18:06:17] 66100
[2023-05-02 18:06:18] 69488
