Time KB_Written
[2023-05-02 18:36:13] 0
[2023-05-02 18:36:14] 312
[2023-05-02 18:36:15] 522240
[2023-05-02 18:36:16] 970728
[2023-05-02 18:36:17] 0
[2023-05-02 18:36:18] 0
[2023-05-02 18:36:19] 424
[2023-05-02 18:36:20] 0
[2023-05-02 18:36:21] 0
[2023-05-02 18:36:22] 0
[2023-05-02 18:36:23] 0
[2023-05-02 18:36:24] 114248
[2023-05-02 18:36:25] 0
[2023-05-02 18:36:26] 0
[2023-05-02 18:36:27] 0
[2023-05-02 18:36:28] 0
[2023-05-02 18:36:29] 50008
[2023-05-02 18:36:30] 0
[2023-05-02 18:36:31] 0
[2023-05-02 18:36:32] 0
[2023-05-02 18:36:33] 0
[2023-05-02 18:36:34] 384
[2023-05-02 18:36:35] 43008
[2023-05-02 18:36:36] 65424
[2023-05-02 18:36:37] 47004
[2023-05-02 18:36:38] 66000
[2023-05-02 18:36:39] 133080
[2023-05-02 18:36:40] 66200
[2023-05-02 18:36:41] 65984
[2023-05-02 18:36:42] 65984
[2023-05-02 18:36:43] 65988
[2023-05-02 18:36:44] 65984
[2023-05-02 18:36:45] 1052
[2023-05-02 18:36:46] 131984
[2023-05-02 18:36:47] 65984
[2023-05-02 18:36:48] 285496
[2023-05-02 18:36:49] 66012
[2023-05-02 18:36:50] 66612
[2023-05-02 18:36:51] 65984
[2023-05-02 18:36:52] 33444
[2023-05-02 18:36:53] 65964
[2023-05-02 18:36:54] 65868
[2023-05-02 18:36:55] 437944
[2023-05-02 18:36:56] 60752
[2023-05-02 18:36:57] 65916
[2023-05-02 18:36:58] 65888
[2023-05-02 18:36:59] 28
[2023-05-02 18:37:00] 66464
[2023-05-02 18:37:01] 145004
[2023-05-02 18:37:02] 141420
[2023-05-02 18:37:03] 65932
[2023-05-02 18:37:04] 46544
[2023-05-02 18:37:05] 81624
[2023-05-02 18:37:06] 42836
[2023-05-02 18:37:07] 84992
[2023-05-02 18:37:08] 42524
[2023-05-02 18:37:09] 251388
[2023-05-02 18:37:10] 12132
[2023-05-02 18:37:11] 132276
[2023-05-02 18:37:12] 0
