Time, cpu%
2023-05-01 23:28:50,20.3
2023-05-01 23:28:52,13.63
2023-05-01 23:28:54,12.94
2023-05-01 23:28:56,12.55
2023-05-01 23:28:58,11.33
2023-05-01 23:29:00,12.37
2023-05-01 23:29:02,12.03
2023-05-01 23:29:04,11.83
2023-05-01 23:29:06,11.86
2023-05-01 23:29:08,12.06
2023-05-01 23:29:10,12.02
2023-05-01 23:29:12,12.3
2023-05-01 23:29:14,11.41
2023-05-01 23:29:16,12.39
2023-05-01 23:29:18,14.18
2023-05-01 23:29:20,12.22
2023-05-01 23:29:22,11.69
2023-05-01 23:29:24,13.36
2023-05-01 23:29:26,12.09
2023-05-01 23:29:28,11.78
2023-05-01 23:29:30,11.92
2023-05-01 23:29:32,11.76
2023-05-01 23:29:34,12.46
2023-05-01 23:29:36,12.18
2023-05-01 23:29:38,11.68
2023-05-01 23:29:40,12.81
2023-05-01 23:29:42,12.04
2023-05-01 23:29:44,11.83
2023-05-01 23:29:46,12.44
2023-05-01 23:29:48,10.55
2023-05-01 23:29:50,11.01
2023-05-01 23:29:52,11.24
2023-05-01 23:29:54,11.74
2023-05-01 23:29:56,11.56
2023-05-01 23:29:58,11.06
2023-05-01 23:30:00,11.75
2023-05-01 23:30:02,10.71
2023-05-01 23:30:04,11.27
2023-05-01 23:30:06,10.36
2023-05-01 23:30:08,10.95
2023-05-01 23:30:10,10.26
2023-05-01 23:30:12,10.64
2023-05-01 23:30:14,10.65
2023-05-01 23:30:17,11.4
2023-05-01 23:30:19,10.2
2023-05-01 23:30:21,10.69
2023-05-01 23:30:23,11.06
2023-05-01 23:30:25,11.17
2023-05-01 23:30:27,11.61
2023-05-01 23:30:29,11.81
2023-05-01 23:30:31,11.1
2023-05-01 23:30:33,11.47
2023-05-01 23:30:35,11.25
