Time KB_Written
[2023-05-02 20:49:13] 746484
[2023-05-02 20:49:14] 342016
[2023-05-02 20:49:15] 404472
[2023-05-02 20:49:16] 284
[2023-05-02 20:49:17] 36
[2023-05-02 20:49:18] 0
[2023-05-02 20:49:19] 0
[2023-05-02 20:49:20] 0
[2023-05-02 20:49:21] 136
[2023-05-02 20:49:22] 60
[2023-05-02 20:49:23] 0
[2023-05-02 20:49:24] 0
[2023-05-02 20:49:25] 0
[2023-05-02 20:49:26] 124
[2023-05-02 20:49:27] 172
[2023-05-02 20:49:28] 0
[2023-05-02 20:49:29] 0
[2023-05-02 20:49:30] 0
[2023-05-02 20:49:31] 164
[2023-05-02 20:49:32] 32
[2023-05-02 20:49:33] 0
