Time, KB_Written
[2023-05-02 20:50:10] 1546536868
[2023-05-02 20:50:11] 0
[2023-05-02 20:50:12] 264
[2023-05-02 20:50:13] 0
[2023-05-02 20:50:14] 497656
[2023-05-02 20:50:15] 497656
[2023-05-02 20:50:16] 314624
[2023-05-02 20:50:17] 183240
[2023-05-02 20:50:18] 424
[2023-05-02 20:50:19] 0
[2023-05-02 20:50:20] 0
[2023-05-02 20:50:21] 0
[2023-05-02 20:50:22] 204
[2023-05-02 20:50:23] 40
[2023-05-02 20:50:24] 0
[2023-05-02 20:50:25] 0
[2023-05-02 20:50:26] 0
[2023-05-02 20:50:27] 128
[2023-05-02 20:50:28] 64
[2023-05-02 20:50:29] 0
[2023-05-02 20:50:30] 0
[2023-05-02 20:50:31] 0
