Time,Read/s,Write/s,util%
2023-05-01 23:32:07,0.00 , 469.00 , 36.00
2023-05-01 23:32:09,0.00 , 0.00 , 0.00
2023-05-01 23:32:11,0.00 , 7.00 , 0.00
2023-05-01 23:32:13,0.00 , 754.00 , 73.20
2023-05-01 23:32:15,0.00 , 0.00 , 0.00
2023-05-01 23:32:17,0.00 , 0.00 , 0.00
2023-05-01 23:32:19,0.00 , 0.00 , 0.00
2023-05-01 23:32:21,0.00 , 7.00 , 0.00
2023-05-01 23:32:23,0.00 , 2.00 , 0.00
2023-05-01 23:32:25,0.00 , 0.00 , 0.00
2023-05-01 23:32:27,0.00 , 0.00 , 0.00
2023-05-01 23:32:29,0.00 , 0.00 , 0.00
2023-05-01 23:32:31,0.00 , 8.00 , 0.00
2023-05-01 23:32:33,0.00 , 2.00 , 0.00
2023-05-01 23:32:35,0.00 , 0.00 , 0.00
2023-05-01 23:32:37,0.00 , 0.00 , 0.00
2023-05-01 23:32:39,0.00 , 2.00 , 0.00
2023-05-01 23:32:41,0.00 , 7.00 , 0.00
2023-05-01 23:32:43,0.00 , 2.00 , 0.00
2023-05-01 23:32:45,0.00 , 0.00 , 0.00
2023-05-01 23:32:47,0.00 , 0.00 , 0.00
2023-05-01 23:32:49,0.00 , 0.00 , 0.00
2023-05-01 23:32:51,0.00 , 8.00 , 0.00
2023-05-01 23:32:53,0.00 , 2.00 , 0.00
2023-05-01 23:32:55,0.00 , 0.00 , 0.00
2023-05-01 23:32:57,0.00 , 0.00 , 0.00
2023-05-01 23:32:59,0.00 , 0.00 , 0.00
2023-05-01 23:33:01,0.00 , 8.00 , 0.00
2023-05-01 23:33:03,0.00 , 2.00 , 0.00
2023-05-01 23:33:05,0.00 , 30.00 , 0.00
2023-05-01 23:33:07,0.00 , 0.00 , 0.00
2023-05-01 23:33:10,0.00 , 0.00 , 0.00
2023-05-01 23:33:12,0.00 , 7.00 , 0.40
2023-05-01 23:33:14,0.00 , 2.00 , 0.00
2023-05-01 23:33:16,0.00 , 0.00 , 0.00
2023-05-01 23:33:18,0.00 , 0.00 , 0.00
2023-05-01 23:33:20,0.00 , 0.00 , 0.00
2023-05-01 23:33:22,0.00 , 7.00 , 0.00
2023-05-01 23:33:24,0.00 , 2.00 , 0.00
2023-05-01 23:33:26,0.00 , 0.00 , 0.00
2023-05-01 23:33:28,0.00 , 0.00 , 0.00
2023-05-01 23:33:30,0.00 , 0.00 , 0.00
2023-05-01 23:33:32,0.00 , 365.00 , 27.60
2023-05-01 23:33:34,0.00 , 2.00 , 0.00
2023-05-01 23:33:36,0.00 , 0.00 , 0.00
2023-05-01 23:33:38,0.00 , 0.00 , 0.00
2023-05-01 23:33:40,0.00 , 0.00 , 0.00
2023-05-01 23:33:42,0.00 , 7.00 , 0.00
2023-05-01 23:33:44,0.00 , 2.00 , 0.00
2023-05-01 23:33:46,0.00 , 0.00 , 0.00
2023-05-01 23:33:48,0.00 , 0.00 , 0.00
2023-05-01 23:33:50,0.00 , 0.00 , 0.00
2023-05-01 23:33:52,0.00 , 7.00 , 0.00
2023-05-01 23:33:54,0.00 , 2.00 , 0.00
2023-05-01 23:33:56,0.00 , 0.00 , 0.00
2023-05-01 23:33:58,0.00 , 0.00 , 0.00
2023-05-01 23:34:00,0.00 , 0.00 , 0.00
2023-05-01 23:34:02,0.00 , 8.00 , 0.00
2023-05-01 23:34:04,0.00 , 2.00 , 0.00
2023-05-01 23:34:06,0.00 , 0.00 , 0.00
2023-05-01 23:34:08,0.00 , 594.00 , 42.80
2023-05-01 23:34:10,0.00 , 0.00 , 0.00
2023-05-01 23:34:12,0.00 , 7.00 , 0.00
2023-05-01 23:34:14,0.00 , 2.00 , 0.00
2023-05-01 23:34:16,0.00 , 0.00 , 0.00
2023-05-01 23:34:18,0.00 , 0.00 , 0.00
2023-05-01 23:34:20,0.00 , 0.00 , 0.00
2023-05-01 23:34:22,0.00 , 0.00 , 0.00
2023-05-01 23:34:24,0.00 , 0.00 , 0.00
2023-05-01 23:34:26,0.00 , 6.00 , 0.40
2023-05-01 23:34:28,0.00 , 2.00 , 0.00
2023-05-01 23:34:30,0.00 , 0.00 , 0.00
2023-05-01 23:34:32,0.00 , 0.00 , 0.00
2023-05-01 23:34:34,0.00 , 0.00 , 0.00
2023-05-01 23:34:36,0.00 , 7.00 , 0.00
2023-05-01 23:34:38,0.00 , 304.00 , 21.60
2023-05-01 23:34:40,0.00 , 0.00 , 0.00
2023-05-01 23:34:42,0.00 , 0.00 , 0.00
2023-05-01 23:34:44,0.00 , 0.00 , 0.00
2023-05-01 23:34:46,0.00 , 8.00 , 0.00
2023-05-01 23:34:48,0.00 , 14.00 , 0.00
2023-05-01 23:34:50,0.00 , 0.00 , 0.00
2023-05-01 23:34:52,0.00 , 0.00 , 0.00
2023-05-01 23:34:54,0.00 , 0.00 , 0.00
2023-05-01 23:34:56,0.00 , 7.00 , 0.00
2023-05-01 23:34:58,0.00 , 2.00 , 0.00
2023-05-01 23:35:00,0.00 , 1.00 , 0.00
2023-05-01 23:35:02,0.00 , 0.00 , 0.00
2023-05-01 23:35:04,0.00 , 0.00 , 0.00
2023-05-01 23:35:06,0.00 , 7.00 , 0.00
2023-05-01 23:35:08,0.00 , 2.00 , 0.00
2023-05-01 23:35:10,0.00 , 0.00 , 0.00
2023-05-01 23:35:12,0.00 , 0.00 , 0.00
2023-05-01 23:35:14,0.00 , 0.00 , 0.00
2023-05-01 23:35:16,0.00 , 8.00 , 0.00
2023-05-01 23:35:18,0.00 , 2.00 , 0.00
2023-05-01 23:35:20,0.00 , 13.00 , 0.00
2023-05-01 23:35:23,0.00 , 0.00 , 0.00
2023-05-01 23:35:25,0.00 , 0.00 , 0.00
2023-05-01 23:35:27,0.00 , 8.00 , 0.00
2023-05-01 23:35:29,0.00 , 2.00 , 0.00
2023-05-01 23:35:31,0.00 , 0.00 , 0.00
2023-05-01 23:35:33,0.00 , 0.00 , 0.00
2023-05-01 23:35:35,0.00 , 0.00 , 0.00
2023-05-01 23:35:37,0.00 , 7.00 , 0.00
2023-05-01 23:35:39,0.00 , 2.00 , 0.00
2023-05-01 23:35:41,0.00 , 25.00 , 0.00
2023-05-01 23:35:43,0.00 , 0.00 , 0.00
2023-05-01 23:35:45,0.00 , 0.00 , 0.00
2023-05-01 23:35:47,0.00 , 458.00 , 36.00
2023-05-01 23:35:49,0.00 , 2.00 , 0.00
2023-05-01 23:35:51,0.00 , 0.00 , 0.00
2023-05-01 23:35:53,0.00 , 0.00 , 0.00
2023-05-01 23:35:55,0.00 , 0.00 , 0.00
2023-05-01 23:35:57,0.00 , 22.00 , 0.00
2023-05-01 23:35:59,0.00 , 2.00 , 0.00
2023-05-01 23:36:01,0.00 , 0.00 , 0.00
2023-05-01 23:36:03,0.00 , 0.00 , 0.00
2023-05-01 23:36:05,0.00 , 0.00 , 0.00
2023-05-01 23:36:07,0.00 , 7.00 , 0.00
2023-05-01 23:36:09,0.00 , 2.00 , 0.00
2023-05-01 23:36:11,0.00 , 0.00 , 0.00
2023-05-01 23:36:13,0.00 , 55.00 , 0.00
2023-05-01 23:36:15,0.00 , 0.00 , 0.00
2023-05-01 23:36:17,0.00 , 8.00 , 0.00
2023-05-01 23:36:19,0.00 , 2.00 , 0.00
2023-05-01 23:36:21,0.00 , 0.00 , 0.00
2023-05-01 23:36:23,0.00 , 2.00 , 0.00
2023-05-01 23:36:25,0.00 , 0.00 , 0.00
