Time,Read/s,Write/s,util%,cpu%
2023-05-01 23:32:07,0.00 , 469.00 , 36.00,13.31
2023-05-01 23:32:09,0.00 , 0.00 , 0.00,11.42
2023-05-01 23:32:11,0.00 , 7.00 , 0.00,11.9
2023-05-01 23:32:13,0.00 , 754.00 , 73.20,16.21
2023-05-01 23:32:15,0.00 , 0.00 , 0.00,11.94
2023-05-01 23:32:17,0.00 , 0.00 , 0.00,11.56
2023-05-01 23:32:19,0.00 , 0.00 , 0.00,10.89
2023-05-01 23:32:21,0.00 , 7.00 , 0.00,11.37
2023-05-01 23:32:23,0.00 , 2.00 , 0.00,11.47
2023-05-01 23:32:25,0.00 , 0.00 , 0.00,10.17
2023-05-01 23:32:27,0.00 , 0.00 , 0.00,11.21
2023-05-01 23:32:29,0.00 , 0.00 , 0.00,10.87
2023-05-01 23:32:31,0.00 , 8.00 , 0.00,10.58
2023-05-01 23:32:33,0.00 , 2.00 , 0.00,9.91
2023-05-01 23:32:35,0.00 , 0.00 , 0.00,10.61
2023-05-01 23:32:37,0.00 , 0.00 , 0.00,11.36
2023-05-01 23:32:39,0.00 , 2.00 , 0.00,10.06
2023-05-01 23:32:41,0.00 , 7.00 , 0.00,11.08
2023-05-01 23:32:43,0.00 , 2.00 , 0.00,8.9
2023-05-01 23:32:45,0.00 , 0.00 , 0.00,10.91
2023-05-01 23:32:47,0.00 , 0.00 , 0.00,10.23
2023-05-01 23:32:49,0.00 , 0.00 , 0.00,9.51
2023-05-01 23:32:51,0.00 , 8.00 , 0.00,10.73
2023-05-01 23:32:53,0.00 , 2.00 , 0.00,10.28
2023-05-01 23:32:55,0.00 , 0.00 , 0.00,11.44
2023-05-01 23:32:57,0.00 , 0.00 , 0.00,11.52
2023-05-01 23:32:59,0.00 , 0.00 , 0.00,10.04
2023-05-01 23:33:01,0.00 , 8.00 , 0.00,11.19
2023-05-01 23:33:03,0.00 , 2.00 , 0.00,10.74
2023-05-01 23:33:05,0.00 , 30.00 , 0.00,9.91
2023-05-01 23:33:07,0.00 , 0.00 , 0.00,10.94
2023-05-01 23:33:10,0.00 , 0.00 , 0.00,11.11
2023-05-01 23:33:12,0.00 , 7.00 , 0.40,11.42
2023-05-01 23:33:14,0.00 , 2.00 , 0.00,11.24
2023-05-01 23:33:16,0.00 , 0.00 , 0.00,11
2023-05-01 23:33:18,0.00 , 0.00 , 0.00,11.36
2023-05-01 23:33:20,0.00 , 0.00 , 0.00,11.63
2023-05-01 23:33:22,0.00 , 7.00 , 0.00,11.49
2023-05-01 23:33:24,0.00 , 2.00 , 0.00,11.53
2023-05-01 23:33:26,0.00 , 0.00 , 0.00,10.61
2023-05-01 23:33:28,0.00 , 0.00 , 0.00,11.41
2023-05-01 23:33:30,0.00 , 0.00 , 0.00,10.01
2023-05-01 23:33:32,0.00 , 365.00 , 27.60,12.9
2023-05-01 23:33:34,0.00 , 2.00 , 0.00,11.15
2023-05-01 23:33:36,0.00 , 0.00 , 0.00,11.27
2023-05-01 23:33:38,0.00 , 0.00 , 0.00,11.81
2023-05-01 23:33:40,0.00 , 0.00 , 0.00,10.64
2023-05-01 23:33:42,0.00 , 7.00 , 0.00,11.79
2023-05-01 23:33:44,0.00 , 2.00 , 0.00,11.06
2023-05-01 23:33:46,0.00 , 0.00 , 0.00,11.33
2023-05-01 23:33:48,0.00 , 0.00 , 0.00,11.4
2023-05-01 23:33:50,0.00 , 0.00 , 0.00,11.44
2023-05-01 23:33:52,0.00 , 7.00 , 0.00,11.4
