Time, cpu%
2023-05-01 23:37:32,14.77
2023-05-01 23:37:34,16.56
2023-05-01 23:37:36,19.16
2023-05-01 23:37:38,25.28
2023-05-01 23:37:40,30.85
2023-05-01 23:37:42,32.29
2023-05-01 23:37:44,31.22
2023-05-01 23:37:46,32.06
2023-05-01 23:37:48,31.38
2023-05-01 23:37:50,31.24
2023-05-01 23:37:52,31.34
2023-05-01 23:37:54,30.97
2023-05-01 23:37:56,31.08
2023-05-01 23:37:58,50.03
2023-05-01 23:38:00,54.87
2023-05-01 23:38:02,59.87
2023-05-01 23:38:04,59.39
2023-05-01 23:38:06,48.18
2023-05-01 23:38:08,60.94
2023-05-01 23:38:10,57.75
2023-05-01 23:38:12,54.66
2023-05-01 23:38:14,56
2023-05-01 23:38:16,57.15
2023-05-01 23:38:18,60.62
2023-05-01 23:38:20,57.79
2023-05-01 23:38:22,58.68
2023-05-01 23:38:24,62.76
2023-05-01 23:38:26,62.25
2023-05-01 23:38:28,62.73
2023-05-01 23:38:30,62.18
2023-05-01 23:38:32,59.02
2023-05-01 23:38:34,62.16
2023-05-01 23:38:36,61.51
2023-05-01 23:38:38,59.58
2023-05-01 23:38:40,58.23
2023-05-01 23:38:42,57.29
2023-05-01 23:38:44,57.01
2023-05-01 23:38:46,55
2023-05-01 23:38:48,59.69
2023-05-01 23:38:50,56.58
2023-05-01 23:38:52,56.92
2023-05-01 23:38:54,59.21
2023-05-01 23:38:56,57.19
2023-05-01 23:38:58,62.97
2023-05-01 23:39:00,53.58
2023-05-01 23:39:02,54.44
2023-05-01 23:39:04,55.68
2023-05-01 23:39:06,52.1
2023-05-01 23:39:08,58.08
2023-05-01 23:39:10,51.57
2023-05-01 23:39:12,59.64
2023-05-01 23:39:14,61.33
2023-05-01 23:39:16,50.67
2023-05-01 23:39:18,58.61
2023-05-01 23:39:20,56.35
2023-05-01 23:39:22,53.54
2023-05-01 23:39:24,51.75
2023-05-01 23:39:26,56.68
2023-05-01 23:39:28,52.73
2023-05-01 23:39:30,48.79
2023-05-01 23:39:32,51.98
2023-05-01 23:39:34,54.01
2023-05-01 23:39:36,59.56
2023-05-01 23:39:39,49.62
2023-05-01 23:39:41,54.72
2023-05-01 23:39:43,57.72
2023-05-01 23:39:45,55.04
2023-05-01 23:39:47,54.02
2023-05-01 23:39:49,53.71
2023-05-01 23:39:51,53.56
2023-05-01 23:39:53,54.74
2023-05-01 23:39:55,57
2023-05-01 23:39:57,57.69
2023-05-01 23:39:59,53.77
2023-05-01 23:40:01,52.66
2023-05-01 23:40:03,53.86
2023-05-01 23:40:05,52.64
2023-05-01 23:40:07,51.84
2023-05-01 23:40:09,53.98
2023-05-01 23:40:11,54.31
2023-05-01 23:40:13,57.11
2023-05-01 23:40:15,51.79
2023-05-01 23:40:17,56.8
2023-05-01 23:40:19,53.74
2023-05-01 23:40:21,56.54
2023-05-01 23:40:23,54.17
2023-05-01 23:40:25,55.57
2023-05-01 23:40:27,52.35
2023-05-01 23:40:29,52.1
2023-05-01 23:40:31,55.65
2023-05-01 23:40:33,58.58
2023-05-01 23:40:35,52.62
2023-05-01 23:40:37,55.39
2023-05-01 23:40:39,53.42
2023-05-01 23:40:41,54.54
2023-05-01 23:40:43,55.78
2023-05-01 23:40:45,54.67
2023-05-01 23:40:47,48.3
2023-05-01 23:40:49,52.7
2023-05-01 23:40:51,50.03
2023-05-01 23:40:53,52.16
2023-05-01 23:40:55,53.03
2023-05-01 23:40:57,54.89
2023-05-01 23:40:59,55.31
2023-05-01 23:41:01,50.7
2023-05-01 23:41:03,46.71
2023-05-01 23:41:05,52.39
2023-05-01 23:41:07,58.66
2023-05-01 23:41:09,54.45
2023-05-01 23:41:11,53.29
2023-05-01 23:41:13,58.16
2023-05-01 23:41:15,59.13
2023-05-01 23:41:17,53.59
2023-05-01 23:41:19,51.21
2023-05-01 23:41:21,55.79
2023-05-01 23:41:23,54.06
2023-05-01 23:41:25,50.16
2023-05-01 23:41:27,50.13
2023-05-01 23:41:29,53.06
2023-05-01 23:41:31,52.9
2023-05-01 23:41:33,50.86
2023-05-01 23:41:35,52.9
2023-05-01 23:41:37,58.06
2023-05-01 23:41:39,50.29
2023-05-01 23:41:41,50.16
2023-05-01 23:41:43,51.47
2023-05-01 23:41:45,53.5
2023-05-01 23:41:47,49.97
2023-05-01 23:41:49,49.36
2023-05-01 23:41:51,50.38
2023-05-01 23:41:53,60.15
2023-05-01 23:41:55,48.66
2023-05-01 23:41:57,54.36
2023-05-01 23:41:59,53.03
2023-05-01 23:42:01,57.07
2023-05-01 23:42:03,53.37
2023-05-01 23:42:05,53.39
2023-05-01 23:42:07,55.03
2023-05-01 23:42:09,53.51
2023-05-01 23:42:11,58.91
2023-05-01 23:42:13,51.66
2023-05-01 23:42:15,54.52
2023-05-01 23:42:17,52.85
2023-05-01 23:42:19,52.66
2023-05-01 23:42:21,53.29
2023-05-01 23:42:23,53.02
2023-05-01 23:42:25,46.49
2023-05-01 23:42:27,57.69
2023-05-01 23:42:29,49.3
2023-05-01 23:42:31,52.93
2023-05-01 23:42:34,51.2
2023-05-01 23:42:36,52.72
2023-05-01 23:42:38,49.84
2023-05-01 23:42:40,52.14
2023-05-01 23:42:42,50.95
2023-05-01 23:42:44,56.14
2023-05-01 23:42:46,53.66
2023-05-01 23:42:48,53.07
2023-05-01 23:42:50,53.89
2023-05-01 23:42:52,54.69
2023-05-01 23:42:54,51.59
2023-05-01 23:42:56,47.56
2023-05-01 23:42:58,55.9
2023-05-01 23:43:00,54.7
2023-05-01 23:43:02,52.05
2023-05-01 23:43:04,50.95
2023-05-01 23:43:06,53.87
2023-05-01 23:43:08,52.02
2023-05-01 23:43:10,51.79
2023-05-01 23:43:12,54.83
2023-05-01 23:43:14,50.16
2023-05-01 23:43:16,50.38
2023-05-01 23:43:18,52.8
2023-05-01 23:43:20,56.69
2023-05-01 23:43:22,58.18
2023-05-01 23:43:24,55.5
2023-05-01 23:43:26,47.89
2023-05-01 23:43:28,50.58
2023-05-01 23:43:30,51.97
2023-05-01 23:43:32,51.76
2023-05-01 23:43:34,62.2
2023-05-01 23:43:36,49.17
2023-05-01 23:43:38,56.71
2023-05-01 23:43:40,54.14
2023-05-01 23:43:42,50.35
2023-05-01 23:43:44,51.85
2023-05-01 23:43:46,53.77
2023-05-01 23:43:48,53.08
2023-05-01 23:43:50,51.24
2023-05-01 23:43:52,57.83
2023-05-01 23:43:54,57.51
2023-05-01 23:43:56,49.27
2023-05-01 23:43:58,50.06
2023-05-01 23:44:00,53.69
2023-05-01 23:44:02,52.3
2023-05-01 23:44:04,52.65
2023-05-01 23:44:06,52.9
2023-05-01 23:44:08,52.32
2023-05-01 23:44:10,58.44
2023-05-01 23:44:12,54.15
2023-05-01 23:44:14,55.13
2023-05-01 23:44:16,52.42
2023-05-01 23:44:18,51.34
2023-05-01 23:44:20,50.61
2023-05-01 23:44:22,49.87
2023-05-01 23:44:24,52.45
2023-05-01 23:44:26,51.66
2023-05-01 23:44:28,57.61
2023-05-01 23:44:30,53.44
2023-05-01 23:44:32,52.86
2023-05-01 23:44:34,54.11
2023-05-01 23:44:36,52.34
2023-05-01 23:44:38,50.32
2023-05-01 23:44:40,48.14
2023-05-01 23:44:42,51.37
2023-05-01 23:44:44,53.9
2023-05-01 23:44:46,52.77
2023-05-01 23:44:48,48.21
2023-05-01 23:44:50,49.27
2023-05-01 23:44:52,56.24
2023-05-01 23:44:54,54.29
2023-05-01 23:44:56,60.69
2023-05-01 23:44:58,52.98
2023-05-01 23:45:00,51.43
2023-05-01 23:45:02,55.49
2023-05-01 23:45:04,49.14
2023-05-01 23:45:06,47.59
2023-05-01 23:45:08,50.38
2023-05-01 23:45:10,50.35
2023-05-01 23:45:12,47.95
2023-05-01 23:45:14,54.94
2023-05-01 23:45:16,51.45
2023-05-01 23:45:18,51.53
2023-05-01 23:45:20,48.4
2023-05-01 23:45:22,47.86
2023-05-01 23:45:24,54.3
2023-05-01 23:45:27,53.2
2023-05-01 23:45:29,55.81
2023-05-01 23:45:31,54.94
2023-05-01 23:45:33,46.86
2023-05-01 23:45:35,49.05
2023-05-01 23:45:37,56.62
2023-05-01 23:45:39,50.67
2023-05-01 23:45:41,8.82
2023-05-01 23:45:43,3.07
2023-05-01 23:45:45,3.69
2023-05-01 23:45:47,4.38
2023-05-01 23:45:49,3.88
