Time,Read/s,Write/s,util%
2023-05-01 23:37:32,0.00 , 0.00 , 0.00
2023-05-01 23:37:34,0.00 , 0.00 , 0.00
2023-05-01 23:37:36,0.00 , 9.00 , 0.00
2023-05-01 23:37:38,0.00 , 0.00 , 0.00
2023-05-01 23:37:40,0.00 , 0.00 , 0.00
2023-05-01 23:37:42,0.00 , 0.00 , 0.00
2023-05-01 23:37:44,0.00 , 0.00 , 0.00
2023-05-01 23:37:46,0.00 , 9.00 , 0.00
2023-05-01 23:37:48,0.00 , 0.00 , 0.00
2023-05-01 23:37:50,0.00 , 0.00 , 0.00
2023-05-01 23:37:52,0.00 , 0.00 , 0.00
2023-05-01 23:37:54,0.00 , 0.00 , 0.00
2023-05-01 23:37:56,0.00 , 10.00 , 0.00
2023-05-01 23:37:58,0.00 , 0.00 , 0.00
2023-05-01 23:38:00,0.00 , 0.00 , 0.00
2023-05-01 23:38:02,0.00 , 0.00 , 0.00
2023-05-01 23:38:04,0.00 , 0.00 , 0.00
2023-05-01 23:38:06,0.00 , 172.00 , 22.00
2023-05-01 23:38:08,0.00 , 0.00 , 0.00
2023-05-01 23:38:10,0.00 , 0.00 , 0.00
2023-05-01 23:38:12,0.00 , 0.00 , 0.00
2023-05-01 23:38:14,0.00 , 0.00 , 0.00
2023-05-01 23:38:16,0.00 , 9.00 , 0.00
2023-05-01 23:38:18,0.00 , 0.00 , 0.00
2023-05-01 23:38:20,0.00 , 0.00 , 0.00
2023-05-01 23:38:22,0.00 , 0.00 , 0.00
2023-05-01 23:38:24,0.00 , 0.00 , 0.00
2023-05-01 23:38:26,0.00 , 10.00 , 0.00
2023-05-01 23:38:28,0.00 , 0.00 , 0.00
2023-05-01 23:38:30,0.00 , 0.00 , 0.00
2023-05-01 23:38:32,0.00 , 26.00 , 0.00
2023-05-01 23:38:34,0.00 , 0.00 , 0.00
2023-05-01 23:38:36,0.00 , 9.00 , 0.00
2023-05-01 23:38:38,0.00 , 0.00 , 0.00
2023-05-01 23:38:40,0.00 , 0.00 , 0.00
2023-05-01 23:38:42,0.00 , 23.00 , 0.00
2023-05-01 23:38:44,0.00 , 0.00 , 0.00
2023-05-01 23:38:46,0.00 , 9.00 , 0.00
2023-05-01 23:38:48,0.00 , 0.00 , 0.00
2023-05-01 23:38:50,0.00 , 0.00 , 0.00
2023-05-01 23:38:52,0.00 , 0.00 , 0.00
2023-05-01 23:38:54,0.00 , 0.00 , 0.00
2023-05-01 23:38:56,0.00 , 10.00 , 0.00
2023-05-01 23:38:58,0.00 , 29.00 , 0.00
2023-05-01 23:39:00,0.00 , 0.00 , 0.00
2023-05-01 23:39:02,0.00 , 0.00 , 0.00
2023-05-01 23:39:04,0.00 , 0.00 , 0.00
2023-05-01 23:39:06,0.00 , 9.00 , 0.00
2023-05-01 23:39:08,0.00 , 276.00 , 31.20
2023-05-01 23:39:10,0.00 , 0.00 , 0.00
2023-05-01 23:39:12,0.00 , 0.00 , 0.00
2023-05-01 23:39:14,0.00 , 0.00 , 0.00
2023-05-01 23:39:16,0.00 , 8.00 , 0.00
2023-05-01 23:39:18,0.00 , 0.00 , 0.00
2023-05-01 23:39:20,0.00 , 0.00 , 0.00
2023-05-01 23:39:22,0.00 , 0.00 , 0.00
2023-05-01 23:39:24,0.00 , 0.00 , 0.00
2023-05-01 23:39:26,0.00 , 10.00 , 0.00
2023-05-01 23:39:28,0.00 , 0.00 , 0.00
2023-05-01 23:39:30,0.00 , 0.00 , 0.00
2023-05-01 23:39:32,0.00 , 0.00 , 0.00
2023-05-01 23:39:34,0.00 , 25.00 , 0.00
2023-05-01 23:39:36,0.00 , 9.00 , 0.00
2023-05-01 23:39:39,0.00 , 0.00 , 0.00
2023-05-01 23:39:41,0.00 , 0.00 , 0.00
2023-05-01 23:39:43,0.00 , 0.00 , 0.00
2023-05-01 23:39:45,0.00 , 0.00 , 0.00
2023-05-01 23:39:47,0.00 , 9.00 , 0.00
2023-05-01 23:39:49,0.00 , 0.00 , 0.00
2023-05-01 23:39:51,0.00 , 3.00 , 0.00
2023-05-01 23:39:53,0.00 , 0.00 , 0.00
2023-05-01 23:39:55,0.00 , 0.00 , 0.00
2023-05-01 23:39:57,0.00 , 10.00 , 0.00
2023-05-01 23:39:59,0.00 , 0.00 , 0.00
2023-05-01 23:40:01,0.00 , 0.00 , 0.00
2023-05-01 23:40:03,0.00 , 0.00 , 0.00
