Time,Read/s,Write/s,util%,cpu%
2023-05-01 23:37:32,0.00 , 0.00 , 0.00,14.77
2023-05-01 23:37:34,0.00 , 0.00 , 0.00,16.56
2023-05-01 23:37:36,0.00 , 9.00 , 0.00,19.16
2023-05-01 23:37:38,0.00 , 0.00 , 0.00,25.28
2023-05-01 23:37:40,0.00 , 0.00 , 0.00,30.85
2023-05-01 23:37:42,0.00 , 0.00 , 0.00,32.29
2023-05-01 23:37:44,0.00 , 0.00 , 0.00,31.22
2023-05-01 23:37:46,0.00 , 9.00 , 0.00,32.06
2023-05-01 23:37:48,0.00 , 0.00 , 0.00,31.38
2023-05-01 23:37:50,0.00 , 0.00 , 0.00,31.24
2023-05-01 23:37:52,0.00 , 0.00 , 0.00,31.34
2023-05-01 23:37:54,0.00 , 0.00 , 0.00,30.97
2023-05-01 23:37:56,0.00 , 10.00 , 0.00,31.08
2023-05-01 23:37:58,0.00 , 0.00 , 0.00,50.03
2023-05-01 23:38:00,0.00 , 0.00 , 0.00,54.87
2023-05-01 23:38:02,0.00 , 0.00 , 0.00,59.87
2023-05-01 23:38:04,0.00 , 0.00 , 0.00,59.39
2023-05-01 23:38:06,0.00 , 172.00 , 22.00,48.18
2023-05-01 23:38:08,0.00 , 0.00 , 0.00,60.94
2023-05-01 23:38:10,0.00 , 0.00 , 0.00,57.75
2023-05-01 23:38:12,0.00 , 0.00 , 0.00,54.66
2023-05-01 23:38:14,0.00 , 0.00 , 0.00,56
2023-05-01 23:38:16,0.00 , 9.00 , 0.00,57.15
2023-05-01 23:38:18,0.00 , 0.00 , 0.00,60.62
2023-05-01 23:38:20,0.00 , 0.00 , 0.00,57.79
2023-05-01 23:38:22,0.00 , 0.00 , 0.00,58.68
2023-05-01 23:38:24,0.00 , 0.00 , 0.00,62.76
2023-05-01 23:38:26,0.00 , 10.00 , 0.00,62.25
2023-05-01 23:38:28,0.00 , 0.00 , 0.00,62.73
2023-05-01 23:38:30,0.00 , 0.00 , 0.00,62.18
2023-05-01 23:38:32,0.00 , 26.00 , 0.00,59.02
2023-05-01 23:38:34,0.00 , 0.00 , 0.00,62.16
2023-05-01 23:38:36,0.00 , 9.00 , 0.00,61.51
2023-05-01 23:38:38,0.00 , 0.00 , 0.00,59.58
2023-05-01 23:38:40,0.00 , 0.00 , 0.00,58.23
2023-05-01 23:38:42,0.00 , 23.00 , 0.00,57.29
2023-05-01 23:38:44,0.00 , 0.00 , 0.00,57.01
2023-05-01 23:38:46,0.00 , 9.00 , 0.00,55
2023-05-01 23:38:48,0.00 , 0.00 , 0.00,59.69
2023-05-01 23:38:50,0.00 , 0.00 , 0.00,56.58
2023-05-01 23:38:52,0.00 , 0.00 , 0.00,56.92
2023-05-01 23:38:54,0.00 , 0.00 , 0.00,59.21
2023-05-01 23:38:56,0.00 , 10.00 , 0.00,57.19
2023-05-01 23:38:58,0.00 , 29.00 , 0.00,62.97
2023-05-01 23:39:00,0.00 , 0.00 , 0.00,53.58
2023-05-01 23:39:02,0.00 , 0.00 , 0.00,54.44
2023-05-01 23:39:04,0.00 , 0.00 , 0.00,55.68
2023-05-01 23:39:06,0.00 , 9.00 , 0.00,52.1
2023-05-01 23:39:08,0.00 , 276.00 , 31.20,58.08
2023-05-01 23:39:10,0.00 , 0.00 , 0.00,51.57
2023-05-01 23:39:12,0.00 , 0.00 , 0.00,59.64
2023-05-01 23:39:14,0.00 , 0.00 , 0.00,61.33
2023-05-01 23:39:16,0.00 , 8.00 , 0.00,50.67
2023-05-01 23:39:18,0.00 , 0.00 , 0.00,58.61
2023-05-01 23:39:20,0.00 , 0.00 , 0.00,56.35
2023-05-01 23:39:22,0.00 , 0.00 , 0.00,53.54
2023-05-01 23:39:24,0.00 , 0.00 , 0.00,51.75
2023-05-01 23:39:26,0.00 , 10.00 , 0.00,56.68
2023-05-01 23:39:28,0.00 , 0.00 , 0.00,52.73
2023-05-01 23:39:30,0.00 , 0.00 , 0.00,48.79
2023-05-01 23:39:32,0.00 , 0.00 , 0.00,51.98
2023-05-01 23:39:34,0.00 , 25.00 , 0.00,54.01
2023-05-01 23:39:36,0.00 , 9.00 , 0.00,59.56
2023-05-01 23:39:39,0.00 , 0.00 , 0.00,49.62
2023-05-01 23:39:41,0.00 , 0.00 , 0.00,54.72
2023-05-01 23:39:43,0.00 , 0.00 , 0.00,57.72
2023-05-01 23:39:45,0.00 , 0.00 , 0.00,55.04
2023-05-01 23:39:47,0.00 , 9.00 , 0.00,54.02
2023-05-01 23:39:49,0.00 , 0.00 , 0.00,53.71
2023-05-01 23:39:51,0.00 , 3.00 , 0.00,53.56
2023-05-01 23:39:53,0.00 , 0.00 , 0.00,54.74
