Time,Read/s,Write/s,util%
2023-05-01 15:59:47,0.00 , 0.00 , 96.40
2023-05-01 15:59:49,0.00 , 0.00 , 100.00
2023-05-01 15:59:51,0.00 , 0.00 , 99.60
2023-05-01 15:59:53,0.00 , 0.00 , 100.00
2023-05-01 15:59:55,0.00 , 0.00 , 46.80
2023-05-01 15:59:57,0.00 , 0.00 , 100.00
2023-05-01 15:59:59,0.00 , 0.00 , 100.00
2023-05-01 16:00:01,0.00 , 0.00 , 100.00
2023-05-01 16:00:03,0.00 , 0.00 , 99.60
2023-05-01 16:00:05,0.00 , 0.00 , 100.00
2023-05-01 16:00:07,0.00 , 0.00 , 100.00
2023-05-01 16:00:09,1.00 , 4.00 , 100.00
2023-05-01 16:00:11,0.00 , 0.00 , 100.00
2023-05-01 16:00:13,0.00 , 0.00 , 100.00
2023-05-01 16:00:15,0.00 , 0.00 , 98.40
2023-05-01 16:00:17,0.00 , 0.00 , 100.00
2023-05-01 16:00:19,0.00 , 0.00 , 100.00
2023-05-01 16:00:21,0.00 , 0.00 , 100.00
2023-05-01 16:00:23,0.00 , 0.00 , 100.00
2023-05-01 16:00:25,0.00 , 0.00 , 100.00
2023-05-01 16:00:27,0.00 , 0.00 , 100.00
2023-05-01 16:00:29,0.00 , 0.00 , 3.60
2023-05-01 16:00:31,0.00 , 0.00 , 100.00
2023-05-01 16:00:33,0.00 , 0.00 , 100.00
2023-05-01 16:00:35,0.00 , 0.00 , 100.00
2023-05-01 16:00:37,0.00 , 0.00 , 100.40
2023-05-01 16:00:39,0.00 , 0.00 , 100.00
2023-05-01 16:00:41,0.00 , 0.00 , 100.00
2023-05-01 16:00:43,0.00 , 0.00 , 100.00
2023-05-01 16:00:45,0.00 , 0.00 , 100.00
2023-05-01 16:00:47,0.00 , 0.00 , 100.00
2023-05-01 16:00:49,0.00 , 0.00 , 100.00
2023-05-01 16:00:51,0.00 , 0.00 , 100.00
2023-05-01 16:00:53,0.00 , 0.00 , 100.00
2023-05-01 16:00:55,0.00 , 0.00 , 100.00
2023-05-01 16:00:57,0.00 , 0.00 , 100.00
2023-05-01 16:00:59,0.00 , 0.00 , 100.00
2023-05-01 16:01:01,0.00 , 0.00 , 100.00
2023-05-01 16:01:03,0.00 , 0.00 , 100.00
2023-05-01 16:01:05,0.00 , 0.00 , 100.00
2023-05-01 16:01:07,0.00 , 0.00 , 100.00
2023-05-01 16:01:09,0.00 , 0.00 , 100.00
2023-05-01 16:01:11,0.00 , 0.00 , 100.40
2023-05-01 16:01:13,0.00 , 0.00 , 97.20
2023-05-01 16:01:15,0.00 , 0.00 , 99.60
2023-05-01 16:01:17,0.00 , 0.00 , 100.00
2023-05-01 16:01:19,0.00 , 0.00 , 100.00
2023-05-01 16:01:21,0.00 , 0.00 , 100.00
2023-05-01 16:01:23,0.00 , 0.00 , 100.00
2023-05-01 16:01:25,0.00 , 0.00 , 100.00
2023-05-01 16:01:27,0.00 , 0.00 , 100.00
2023-05-01 16:01:29,0.00 , 0.00 , 100.00
2023-05-01 16:01:31,0.00 , 0.00 , 100.00
2023-05-01 16:01:33,0.00 , 0.00 , 100.00
2023-05-01 16:01:35,0.00 , 0.00 , 100.00
2023-05-01 16:01:37,0.00 , 0.00 , 97.60
2023-05-01 16:01:39,0.00 , 0.00 , 100.00
2023-05-01 16:01:41,0.00 , 0.00 , 100.00
2023-05-01 16:01:43,0.00 , 0.00 , 99.01
2023-05-01 16:01:45,0.00 , 0.00 , 100.00
2023-05-01 16:01:47,0.00 , 0.00 , 47.60
2023-05-01 16:01:49,0.00 , 0.00 , 70.80
2023-05-01 16:01:51,0.00 , 0.00 , 100.00
2023-05-01 16:01:53,0.00 , 0.00 , 100.00
2023-05-01 16:01:55,0.00 , 0.00 , 99.60
2023-05-01 16:01:57,0.00 , 0.00 , 100.40
2023-05-01 16:01:59,0.00 , 0.00 , 100.00
2023-05-01 16:02:01,0.00 , 0.00 , 100.00
2023-05-01 16:02:03,0.00 , 0.00 , 100.00
2023-05-01 16:02:05,0.00 , 0.00 , 100.00
2023-05-01 16:02:07,0.00 , 0.00 , 100.00
2023-05-01 16:02:09,0.00 , 0.00 , 100.00
2023-05-01 16:02:11,0.00 , 0.00 , 100.00
