Time, KB_Written
[2023-05-02 20:23:00] 219630768
[2023-05-02 20:23:01] 0
[2023-05-02 20:23:02] 8
[2023-05-02 20:23:03] 0
[2023-05-02 20:23:04] 0
[2023-05-02 20:23:05] 0
[2023-05-02 20:23:06] 336
[2023-05-02 20:23:07] 72
[2023-05-02 20:23:08] 0
[2023-05-02 20:23:09] 0
[2023-05-02 20:23:10] 0
[2023-05-02 20:23:11] 68
[2023-05-02 20:23:12] 0
[2023-05-02 20:23:13] 156
[2023-05-02 20:23:14] 0
[2023-05-02 20:23:15] 0
[2023-05-02 20:23:16] 185008
[2023-05-02 20:23:17] 0
[2023-05-02 20:23:18] 0
[2023-05-02 20:23:19] 52
[2023-05-02 20:23:20] 0
[2023-05-02 20:23:21] 42292
[2023-05-02 20:23:22] 360264
[2023-05-02 20:23:23] 354140
[2023-05-02 20:23:24] 358656
[2023-05-02 20:23:25] 360448
[2023-05-02 20:23:26] 280668
[2023-05-02 20:23:27] 63696
[2023-05-02 20:23:28] 0
[2023-05-02 20:23:29] 0
[2023-05-02 20:23:30] 0
[2023-05-02 20:23:31] 0
[2023-05-02 20:23:32] 56
[2023-05-02 20:23:33] 158208
[2023-05-02 20:23:34] 126100
[2023-05-02 20:23:35] 131916
[2023-05-02 20:23:36] 131932
[2023-05-02 20:23:37] 105236
[2023-05-02 20:23:38] 0
[2023-05-02 20:23:39] 0
[2023-05-02 20:23:40] 214152
[2023-05-02 20:23:41] 0
[2023-05-02 20:23:42] 0
[2023-05-02 20:23:43] 0
[2023-05-02 20:23:44] 0
[2023-05-02 20:23:45] 72
[2023-05-02 20:23:46] 52
[2023-05-02 20:23:47] 177152
[2023-05-02 20:23:48] 106920
[2023-05-02 20:23:49] 127156
[2023-05-02 20:23:50] 70760
[2023-05-02 20:23:51] 131984
[2023-05-02 20:23:52] 0
