Time KB_Written
[2023-05-02 20:12:40] 8
[2023-05-02 20:12:41] 0
[2023-05-02 20:12:42] 0
[2023-05-02 20:12:43] 0
[2023-05-02 20:12:44] 180480
[2023-05-02 20:12:45] 88
[2023-05-02 20:12:46] 0
[2023-05-02 20:12:47] 0
[2023-05-02 20:12:48] 0
[2023-05-02 20:12:49] 43380
[2023-05-02 20:12:50] 371784
[2023-05-02 20:12:51] 361728
[2023-05-02 20:12:52] 366080
[2023-05-02 20:12:53] 170216
[2023-05-02 20:12:54] 0
[2023-05-02 20:12:55] 408
[2023-05-02 20:12:56] 48
[2023-05-02 20:12:57] 0
[2023-05-02 20:12:58] 0
[2023-05-02 20:12:59] 0
[2023-05-02 20:13:00] 44
[2023-05-02 20:13:01] 0
[2023-05-02 20:13:02] 0
[2023-05-02 20:13:03] 40
[2023-05-02 20:13:04] 0
[2023-05-02 20:13:05] 40
[2023-05-02 20:13:06] 0
[2023-05-02 20:13:07] 0
[2023-05-02 20:13:08] 0
[2023-05-02 20:13:09] 209876
[2023-05-02 20:13:10] 0
[2023-05-02 20:13:11] 0
[2023-05-02 20:13:12] 0
[2023-05-02 20:13:13] 0
[2023-05-02 20:13:14] 56
[2023-05-02 20:13:15] 0
[2023-05-02 20:13:16] 0
[2023-05-02 20:13:17] 0
[2023-05-02 20:13:18] 0
[2023-05-02 20:13:19] 58836
[2023-05-02 20:13:20] 206664
[2023-05-02 20:13:21] 72800
[2023-05-02 20:13:22] 131920
[2023-05-02 20:13:23] 80556
[2023-05-02 20:13:24] 353248
[2023-05-02 20:13:25] 11356
[2023-05-02 20:13:26] 0
[2023-05-02 20:13:27] 0
[2023-05-02 20:13:28] 0
[2023-05-02 20:13:29] 76
[2023-05-02 20:13:30] 75220
[2023-05-02 20:13:31] 130836
[2023-05-02 20:13:32] 0
[2023-05-02 20:13:33] 0
[2023-05-02 20:13:34] 0
[2023-05-02 20:13:35] 8
[2023-05-02 20:13:36] 64
[2023-05-02 20:13:37] 0
[2023-05-02 20:13:38] 0
[2023-05-02 20:13:39] 0
[2023-05-02 20:13:40] 0
[2023-05-02 20:13:41] 194860
[2023-05-02 20:13:42] 78248
[2023-05-02 20:13:43] 131936
[2023-05-02 20:13:44] 107696
[2023-05-02 20:13:45] 90212
[2023-05-02 20:13:46] 121528
[2023-05-02 20:13:47] 76384
[2023-05-02 20:13:48] 131940
[2023-05-02 20:13:49] 99568
[2023-05-02 20:13:50] 66060
[2023-05-02 20:13:51] 65888
[2023-05-02 20:13:52] 0
