Time, cpu%
2023-05-01 15:59:47,9.76
2023-05-01 15:59:49,6.55
2023-05-01 15:59:51,5.51
2023-05-01 15:59:53,5.06
2023-05-01 15:59:55,5.16
2023-05-01 15:59:57,5.08
2023-05-01 15:59:59,5.26
2023-05-01 16:00:01,5.4
2023-05-01 16:00:03,5.26
2023-05-01 16:00:05,4.76
2023-05-01 16:00:07,67.2
2023-05-01 16:00:09,6.27
2023-05-01 16:00:11,6.13
2023-05-01 16:00:13,4.72
2023-05-01 16:00:15,3.8
2023-05-01 16:00:17,5.2
2023-05-01 16:00:19,5.29
2023-05-01 16:00:21,5.2
2023-05-01 16:00:23,5.12
2023-05-01 16:00:25,4.28
2023-05-01 16:00:27,4.28
2023-05-01 16:00:29,6.86
2023-05-01 16:00:31,6.37
2023-05-01 16:00:33,6.52
2023-05-01 16:00:35,6.64
2023-05-01 16:00:37,5.6
2023-05-01 16:00:39,6.66
2023-05-01 16:00:41,6.26
2023-05-01 16:00:43,6.41
2023-05-01 16:00:45,6.63
2023-05-01 16:00:47,5.71
2023-05-01 16:00:49,6.26
2023-05-01 16:00:51,5.8
2023-05-01 16:00:53,5.48
2023-05-01 16:00:55,5.56
2023-05-01 16:00:57,5.55
2023-05-01 16:00:59,5.95
2023-05-01 16:01:01,5.7
2023-05-01 16:01:03,5.71
2023-05-01 16:01:05,5.84
2023-05-01 16:01:07,5.51
2023-05-01 16:01:09,5.61
2023-05-01 16:01:11,5.92
2023-05-01 16:01:13,6.11
2023-05-01 16:01:15,6.62
2023-05-01 16:01:17,5.12
2023-05-01 16:01:19,5.92
2023-05-01 16:01:21,5.31
2023-05-01 16:01:23,6.41
2023-05-01 16:01:25,5.86
2023-05-01 16:01:27,5.25
2023-05-01 16:01:29,6.8
2023-05-01 16:01:31,4.96
2023-05-01 16:01:33,5.49
2023-05-01 16:01:35,5.25
2023-05-01 16:01:37,5.61
2023-05-01 16:01:39,5.4
2023-05-01 16:01:41,6.14
2023-05-01 16:01:43,5.4
2023-05-01 16:01:45,5.58
2023-05-01 16:01:47,6.79
2023-05-01 16:01:49,10.09
2023-05-01 16:01:51,5.56
2023-05-01 16:01:53,5.52
2023-05-01 16:01:55,5.89
2023-05-01 16:01:57,6.48
2023-05-01 16:01:59,6.13
2023-05-01 16:02:01,6.17
2023-05-01 16:02:03,6
2023-05-01 16:02:05,5.91
2023-05-01 16:02:07,6.33
2023-05-01 16:02:09,6.45
2023-05-01 16:02:11,6.46
2023-05-01 16:02:13,6.46
2023-05-01 16:02:16,6.51
2023-05-01 16:02:18,6.28
2023-05-01 16:02:20,6.23
2023-05-01 16:02:22,5.65
2023-05-01 16:02:24,6.32
2023-05-01 16:02:26,6.12
2023-05-01 16:02:28,5.8
2023-05-01 16:02:30,5.47
2023-05-01 16:02:32,5.37
2023-05-01 16:02:34,6.42
2023-05-01 16:02:36,5.94
2023-05-01 16:02:38,6.61
2023-05-01 16:02:40,6.13
2023-05-01 16:02:42,6.29
2023-05-01 16:02:44,6.2
2023-05-01 16:02:46,5.85
2023-05-01 16:02:48,6.93
2023-05-01 16:02:50,7.01
2023-05-01 16:02:52,6.27
2023-05-01 16:02:54,7.11
2023-05-01 16:02:56,6.84
2023-05-01 16:02:58,7.03
2023-05-01 16:03:00,6.64
2023-05-01 16:03:02,6.35
2023-05-01 16:03:04,6.89
2023-05-01 16:03:06,5.76
2023-05-01 16:03:08,7.36
2023-05-01 16:03:10,8.64
2023-05-01 16:03:12,7.65
2023-05-01 16:03:14,8.49
2023-05-01 16:03:16,6.27
2023-05-01 16:03:18,7.54
2023-05-01 16:03:20,7.74
2023-05-01 16:03:22,6.55
2023-05-01 16:03:24,6.57
2023-05-01 16:03:26,4.95
2023-05-01 16:03:28,5.63
2023-05-01 16:03:30,5.04
2023-05-01 16:03:32,4.86
2023-05-01 16:03:34,4.94
2023-05-01 16:03:36,4.8
2023-05-01 16:03:38,4.8
2023-05-01 16:03:40,4.65
2023-05-01 16:03:42,4.85
2023-05-01 16:03:44,5.09
2023-05-01 16:03:46,4.61
2023-05-01 16:03:48,4.56
2023-05-01 16:03:50,4.7
2023-05-01 16:03:52,5.13
2023-05-01 16:03:54,4.66
2023-05-01 16:03:56,4.8
2023-05-01 16:03:58,4.71
2023-05-01 16:04:00,4.86
2023-05-01 16:04:02,4.99
2023-05-01 16:04:04,4.89
2023-05-01 16:04:06,4.75
2023-05-01 16:04:08,5.23
2023-05-01 16:04:10,4.85
2023-05-01 16:04:12,4.99
2023-05-01 16:04:14,4.84
2023-05-01 16:04:16,4.9
2023-05-01 16:04:18,4.85
2023-05-01 16:04:20,5.08
2023-05-01 16:04:22,4.61
2023-05-01 16:04:24,4.47
2023-05-01 16:04:26,5.47
2023-05-01 16:04:28,4.9
2023-05-01 16:04:30,5
2023-05-01 16:04:32,5.04
2023-05-01 16:04:34,4.9
2023-05-01 16:04:36,4.62
2023-05-01 16:04:38,4.61
2023-05-01 16:04:40,4.66
2023-05-01 16:04:42,4.42
2023-05-01 16:04:44,4.32
2023-05-01 16:04:47,4.51
2023-05-01 16:04:49,4.51
2023-05-01 16:04:51,4.51
2023-05-01 16:04:53,4.56
2023-05-01 16:04:55,4.8
2023-05-01 16:04:57,4.94
2023-05-01 16:04:59,5.01
2023-05-01 16:05:01,6.53
2023-05-01 16:05:03,4.75
2023-05-01 16:05:05,4.8
2023-05-01 16:05:07,5.14
2023-05-01 16:05:09,4.51
2023-05-01 16:05:11,4.75
2023-05-01 16:05:13,4.72
2023-05-01 16:05:15,5
2023-05-01 16:05:17,6.58
2023-05-01 16:05:19,8.13
2023-05-01 16:05:21,4.95
2023-05-01 16:05:23,9.44
2023-05-01 16:05:25,6.82
2023-05-01 16:05:27,5.78
2023-05-01 16:05:29,7.2
2023-05-01 16:05:31,7.21
2023-05-01 16:05:33,6.75
2023-05-01 16:05:35,6.52
2023-05-01 16:05:37,6
2023-05-01 16:05:39,6.45
2023-05-01 16:05:41,6.32
2023-05-01 16:05:43,6.28
2023-05-01 16:05:45,6.24
2023-05-01 16:05:47,6.93
2023-05-01 16:05:49,6.32
2023-05-01 16:05:51,6.48
2023-05-01 16:05:53,5.95
2023-05-01 16:05:55,6.58
2023-05-01 16:05:57,6.28
2023-05-01 16:05:59,6.38
2023-05-01 16:06:01,6.79
2023-05-01 16:06:03,5.86
2023-05-01 16:06:05,6.09
2023-05-01 16:06:07,5.94
2023-05-01 16:06:09,7.45
2023-05-01 16:06:11,5.87
2023-05-01 16:06:13,5.58
2023-05-01 16:06:15,6.34
2023-05-01 16:06:17,6.18
2023-05-01 16:06:19,6.52
2023-05-01 16:06:21,5.96
2023-05-01 16:06:23,6.68
2023-05-01 16:06:25,6.09
2023-05-01 16:06:27,5.94
2023-05-01 16:06:29,6.16
2023-05-01 16:06:31,6.22
2023-05-01 16:06:33,6.72
2023-05-01 16:06:35,6.92
2023-05-01 16:06:37,7.2
2023-05-01 16:06:39,7.04
2023-05-01 16:06:41,6.57
2023-05-01 16:06:43,6.56
2023-05-01 16:06:45,6.11
2023-05-01 16:06:47,5.43
2023-05-01 16:06:49,6.59
2023-05-01 16:06:51,6.27
2023-05-01 16:06:53,5.96
2023-05-01 16:06:55,5.9
2023-05-01 16:06:57,6.38
2023-05-01 16:06:59,6.88
2023-05-01 16:07:01,8.6
2023-05-01 16:07:03,6.61
2023-05-01 16:07:05,6.48
2023-05-01 16:07:07,4.96
2023-05-01 16:07:09,5.43
2023-05-01 16:07:11,4.23
2023-05-01 16:07:13,4.85
2023-05-01 16:07:15,5.18
