Time,Read/s,Write/s,util%,cpu%
2023-05-01 15:59:47,0.00 , 0.00 , 96.40,9.76
2023-05-01 15:59:49,0.00 , 0.00 , 100.00,6.55
2023-05-01 15:59:51,0.00 , 0.00 , 99.60,5.51
2023-05-01 15:59:53,0.00 , 0.00 , 100.00,5.06
2023-05-01 15:59:55,0.00 , 0.00 , 46.80,5.16
2023-05-01 15:59:57,0.00 , 0.00 , 100.00,5.08
2023-05-01 15:59:59,0.00 , 0.00 , 100.00,5.26
2023-05-01 16:00:01,0.00 , 0.00 , 100.00,5.4
2023-05-01 16:00:03,0.00 , 0.00 , 99.60,5.26
2023-05-01 16:00:05,0.00 , 0.00 , 100.00,4.76
2023-05-01 16:00:07,0.00 , 0.00 , 100.00,67.2
2023-05-01 16:00:09,1.00 , 4.00 , 100.00,6.27
2023-05-01 16:00:11,0.00 , 0.00 , 100.00,6.13
2023-05-01 16:00:13,0.00 , 0.00 , 100.00,4.72
2023-05-01 16:00:15,0.00 , 0.00 , 98.40,3.8
2023-05-01 16:00:17,0.00 , 0.00 , 100.00,5.2
2023-05-01 16:00:19,0.00 , 0.00 , 100.00,5.29
2023-05-01 16:00:21,0.00 , 0.00 , 100.00,5.2
2023-05-01 16:00:23,0.00 , 0.00 , 100.00,5.12
2023-05-01 16:00:25,0.00 , 0.00 , 100.00,4.28
2023-05-01 16:00:27,0.00 , 0.00 , 100.00,4.28
2023-05-01 16:00:29,0.00 , 0.00 , 3.60,6.86
2023-05-01 16:00:31,0.00 , 0.00 , 100.00,6.37
2023-05-01 16:00:33,0.00 , 0.00 , 100.00,6.52
2023-05-01 16:00:35,0.00 , 0.00 , 100.00,6.64
2023-05-01 16:00:37,0.00 , 0.00 , 100.40,5.6
2023-05-01 16:00:39,0.00 , 0.00 , 100.00,6.66
2023-05-01 16:00:41,0.00 , 0.00 , 100.00,6.26
2023-05-01 16:00:43,0.00 , 0.00 , 100.00,6.41
2023-05-01 16:00:45,0.00 , 0.00 , 100.00,6.63
