Time, KB_Written
[2023-05-02 21:41:14] 315589584
[2023-05-02 21:41:15] 0
[2023-05-02 21:41:16] 36
[2023-05-02 21:41:17] 43520
[2023-05-02 21:41:18] 386552
[2023-05-02 21:41:19] 198144
[2023-05-02 21:41:20] 367180
[2023-05-02 21:41:21] 245772
[2023-05-02 21:41:22] 251896
[2023-05-02 21:41:23] 0
[2023-05-02 21:41:24] 0
[2023-05-02 21:41:25] 84
[2023-05-02 21:41:26] 48
[2023-05-02 21:41:27] 280
[2023-05-02 21:41:28] 0
[2023-05-02 21:41:29] 0
[2023-05-02 21:41:30] 16
[2023-05-02 21:41:31] 28
[2023-05-02 21:41:32] 312
[2023-05-02 21:41:33] 0
[2023-05-02 21:41:34] 0
[2023-05-02 21:41:35] 16
[2023-05-02 21:41:36] 28
[2023-05-02 21:41:37] 0
[2023-05-02 21:41:38] 0
[2023-05-02 21:41:39] 0
[2023-05-02 21:41:40] 0
[2023-05-02 21:41:41] 24
[2023-05-02 21:41:42] 0
[2023-05-02 21:41:43] 0
[2023-05-02 21:41:44] 0
[2023-05-02 21:41:45] 0
[2023-05-02 21:41:46] 12
[2023-05-02 21:41:47] 38588
[2023-05-02 21:41:48] 385908
[2023-05-02 21:41:49] 372248
[2023-05-02 21:41:50] 380148
[2023-05-02 21:41:51] 316160
[2023-05-02 21:41:52] 0
[2023-05-02 21:41:53] 92
[2023-05-02 21:41:54] 0
[2023-05-02 21:41:55] 0
[2023-05-02 21:41:56] 48864
[2023-05-02 21:41:57] 383272
[2023-05-02 21:41:58] 388192
