Time KB_Written
[2023-05-02 21:46:05] 274692
[2023-05-02 21:46:06] 286976
[2023-05-02 21:46:07] 248708
[2023-05-02 21:46:08] 293888
[2023-05-02 21:46:09] 165892
[2023-05-02 21:46:10] 0
[2023-05-02 21:46:11] 68
[2023-05-02 21:46:12] 80
[2023-05-02 21:46:13] 0
[2023-05-02 21:46:14] 0
[2023-05-02 21:46:15] 0
[2023-05-02 21:46:16] 44
[2023-05-02 21:46:17] 0
[2023-05-02 21:46:18] 16
[2023-05-02 21:46:19] 0
[2023-05-02 21:46:20] 0
[2023-05-02 21:46:21] 12
[2023-05-02 21:46:22] 304
[2023-05-02 21:46:23] 0
[2023-05-02 21:46:24] 12
[2023-05-02 21:46:25] 0
[2023-05-02 21:46:26] 12
[2023-05-02 21:46:27] 276
[2023-05-02 21:46:28] 0
[2023-05-02 21:46:29] 0
[2023-05-02 21:46:30] 12
[2023-05-02 21:46:31] 24
[2023-05-02 21:46:32] 0
[2023-05-02 21:46:33] 0
[2023-05-02 21:46:34] 0
[2023-05-02 21:46:35] 0
