Time, cpu%
2023-05-01 16:40:17,5.83
2023-05-01 16:40:19,6.6
2023-05-01 16:40:21,5.15
2023-05-01 16:40:23,5.64
2023-05-01 16:40:25,6.84
2023-05-01 16:40:27,5.38
2023-05-01 16:40:29,6.02
2023-05-01 16:40:31,6.28
2023-05-01 16:40:33,7.21
2023-05-01 16:40:35,6.2
2023-05-01 16:40:37,6.07
2023-05-01 16:40:39,5.5
2023-05-01 16:40:41,0
2023-05-01 16:40:43,5.28
2023-05-01 16:40:45,6.06
2023-05-01 16:40:47,6
2023-05-01 16:40:49,5.91
2023-05-01 16:40:51,5.31
2023-05-01 16:40:53,6.02
2023-05-01 16:40:55,5.93
2023-05-01 16:40:57,6.16
2023-05-01 16:40:59,5.74
2023-05-01 16:41:01,6.19
2023-05-01 16:41:03,6.45
2023-05-01 16:41:05,6.27
2023-05-01 16:41:07,5.91
2023-05-01 16:41:09,6.26
2023-05-01 16:41:11,0.3
2023-05-01 16:41:13,5.97
2023-05-01 16:41:15,4.49
2023-05-01 16:41:17,5.55
2023-05-01 16:41:19,6
2023-05-01 16:41:21,0.45
2023-05-01 16:41:23,1.7
2023-05-01 16:41:25,4.57
2023-05-01 16:41:27,5.13
2023-05-01 16:41:29,6
2023-05-01 16:41:31,6.57
2023-05-01 16:41:33,6.3
2023-05-01 16:41:35,3.87
2023-05-01 16:41:37,4.86
2023-05-01 16:41:39,5.7
2023-05-01 16:41:41,1.05
2023-05-01 16:41:43,6.2
2023-05-01 16:41:45,3.35
2023-05-01 16:41:47,5.99
2023-05-01 16:41:49,5.41
2023-05-01 16:41:51,5.61
2023-05-01 16:41:53,5.9
2023-05-01 16:41:56,2.41
2023-05-01 16:41:58,6.26
2023-05-01 16:42:00,5.82
2023-05-01 16:42:02,1.5
2023-05-01 16:42:04,5.48
2023-05-01 16:42:06,1.86
2023-05-01 16:42:08,6.22
2023-05-01 16:42:10,5.66
2023-05-01 16:42:12,1.95
2023-05-01 16:42:14,5.2
2023-05-01 16:42:16,2.41
2023-05-01 16:42:18,5.68
2023-05-01 16:42:20,6.56
2023-05-01 16:42:22,1.75
2023-05-01 16:42:24,6.59
2023-05-01 16:42:26,6.21
2023-05-01 16:42:28,5.83
2023-05-01 16:42:30,5.27
2023-05-01 16:42:32,2.15
2023-05-01 16:42:34,5.33
2023-05-01 16:42:36,5.27
2023-05-01 16:42:38,5.81
2023-05-01 16:42:40,5.57
2023-05-01 16:42:42,2.35
2023-05-01 16:42:44,5.37
2023-05-01 16:42:46,5.6
2023-05-01 16:42:48,6.12
2023-05-01 16:42:50,5.8
2023-05-01 16:42:52,3.25
2023-05-01 16:42:54,5.72
2023-05-01 16:42:56,0.7
2023-05-01 16:42:58,6.33
2023-05-01 16:43:00,6.18
2023-05-01 16:43:02,3.05
2023-05-01 16:43:04,4.87
2023-05-01 16:43:06,0.8
2023-05-01 16:43:08,6.12
2023-05-01 16:43:10,5.59
2023-05-01 16:43:12,3.76
2023-05-01 16:43:14,6.11
2023-05-01 16:43:16,5.55
2023-05-01 16:43:18,6.16
2023-05-01 16:43:20,5.7
2023-05-01 16:43:22,4.72
2023-05-01 16:43:24,6.3
2023-05-01 16:43:26,5.67
2023-05-01 16:43:28,6.5
2023-05-01 16:43:30,1.2
2023-05-01 16:43:32,5.36
2023-05-01 16:43:34,5.76
2023-05-01 16:43:36,0.05
2023-05-01 16:43:38,8.94
2023-05-01 16:43:40,5.29
2023-05-01 16:43:42,5.25
2023-05-01 16:43:44,5.04
2023-05-01 16:43:46,2.25
2023-05-01 16:43:48,6.22
2023-05-01 16:43:50,6.4
2023-05-01 16:43:52,5.36
2023-05-01 16:43:54,5.59
2023-05-01 16:43:56,0.1
2023-05-01 16:43:58,6.06
2023-05-01 16:44:00,3.06
2023-05-01 16:44:02,5.66
2023-05-01 16:44:04,5.17
2023-05-01 16:44:06,5.64
2023-05-01 16:44:08,6.26
2023-05-01 16:44:10,3.4
2023-05-01 16:44:12,4.96
2023-05-01 16:44:14,8.52
2023-05-01 16:44:16,5.93
2023-05-01 16:44:18,6.53
2023-05-01 16:44:20,3.55
2023-05-01 16:44:22,3.05
2023-05-01 16:44:24,4.98
2023-05-01 16:44:26,0.85
2023-05-01 16:44:28,5.73
2023-05-01 16:44:30,3.35
2023-05-01 16:44:32,5.51
2023-05-01 16:44:35,5.58
2023-05-01 16:44:37,0.95
2023-05-01 16:44:39,3.7
2023-05-01 16:44:41,1.85
2023-05-01 16:44:43,4.1
2023-05-01 16:44:45,3.42
2023-05-01 16:44:47,2.55
2023-05-01 16:44:49,5.47
2023-05-01 16:44:51,5.16
2023-05-01 16:44:53,5.81
2023-05-01 16:44:55,6.25
2023-05-01 16:44:57,2
2023-05-01 16:44:59,5.86
2023-05-01 16:45:01,5.01
2023-05-01 16:45:03,5.33
2023-05-01 16:45:05,5.31
2023-05-01 16:45:07,2.85
2023-05-01 16:45:09,4.81
2023-05-01 16:45:11,1.05
2023-05-01 16:45:13,3.16
2023-05-01 16:45:15,2.85
2023-05-01 16:45:17,2.95
2023-05-01 16:45:19,6.28
2023-05-01 16:45:21,1.35
2023-05-01 16:45:23,6.81
2023-05-01 16:45:25,6.01
2023-05-01 16:45:27,3.56
2023-05-01 16:45:29,0.95
