Time,Read/s,Write/s,util%,cpu%
2023-05-01 16:40:17,0.00 , 0.00 , 0.00,5.83
2023-05-01 16:40:19,0.00 , 0.00 , 0.00,6.6
2023-05-01 16:40:21,0.00 , 0.00 , 0.00,5.15
2023-05-01 16:40:23,0.00 , 0.00 , 0.00,5.64
2023-05-01 16:40:25,0.00 , 0.00 , 0.80,6.84
2023-05-01 16:40:27,0.00 , 0.00 , 0.00,5.38
2023-05-01 16:40:29,0.00 , 0.00 , 0.00,6.02
2023-05-01 16:40:31,0.00 , 0.00 , 0.00,6.28
2023-05-01 16:40:33,0.00 , 0.00 , 0.00,7.21
2023-05-01 16:40:35,0.00 , 0.00 , 1.20,6.2
2023-05-01 16:40:37,0.00 , 0.00 , 0.00,6.07
2023-05-01 16:40:39,0.00 , 0.00 , 0.00,5.5
2023-05-01 16:40:41,0.00 , 0.00 , 0.40,0
2023-05-01 16:40:43,0.00 , 0.00 , 0.00,5.28
2023-05-01 16:40:45,0.00 , 0.00 , 0.80,6.06
2023-05-01 16:40:47,0.00 , 0.00 , 0.00,6
2023-05-01 16:40:49,0.00 , 0.00 , 0.00,5.91
2023-05-01 16:40:51,0.00 , 0.00 , 0.40,5.31
2023-05-01 16:40:53,0.00 , 0.00 , 0.00,6.02
2023-05-01 16:40:55,0.00 , 0.00 , 0.80,5.93
2023-05-01 16:40:57,0.00 , 0.00 , 0.00,6.16
2023-05-01 16:40:59,0.00 , 0.00 , 0.00,5.74
2023-05-01 16:41:01,0.00 , 0.00 , 0.00,6.19
2023-05-01 16:41:03,0.00 , 0.00 , 0.00,6.45
2023-05-01 16:41:05,0.00 , 0.00 , 0.80,6.27
2023-05-01 16:41:07,0.00 , 0.00 , 0.00,5.91
2023-05-01 16:41:09,0.00 , 0.00 , 0.00,6.26
2023-05-01 16:41:11,0.00 , 0.00 , 0.00,0.3
2023-05-01 16:41:13,0.00 , 0.00 , 0.00,5.97
2023-05-01 16:41:15,0.00 , 0.00 , 0.80,4.49
2023-05-01 16:41:17,0.00 , 0.00 , 0.00,5.55
2023-05-01 16:41:19,0.00 , 0.00 , 0.00,6
2023-05-01 16:41:21,0.00 , 0.00 , 0.00,0.45
2023-05-01 16:41:23,0.00 , 0.00 , 0.00,1.7
2023-05-01 16:41:25,0.00 , 0.00 , 0.80,4.57
2023-05-01 16:41:27,0.00 , 0.00 , 0.00,5.13
2023-05-01 16:41:29,0.00 , 0.00 , 0.00,6
2023-05-01 16:41:31,0.00 , 0.00 , 0.40,6.57
2023-05-01 16:41:33,0.00 , 0.00 , 0.00,6.3
2023-05-01 16:41:35,0.00 , 0.00 , 0.80,3.87
2023-05-01 16:41:37,0.00 , 0.00 , 0.00,4.86
2023-05-01 16:41:39,0.00 , 0.00 , 0.00,5.7
2023-05-01 16:41:41,0.00 , 0.00 , 0.00,1.05
2023-05-01 16:41:43,0.00 , 0.00 , 0.00,6.2
2023-05-01 16:41:45,0.00 , 0.00 , 0.80,3.35
2023-05-01 16:41:47,0.00 , 0.00 , 0.00,5.99
2023-05-01 16:41:49,0.00 , 0.00 , 0.00,5.41
2023-05-01 16:41:51,0.00 , 0.00 , 0.00,5.61
2023-05-01 16:41:53,0.00 , 0.00 , 0.00,5.9
2023-05-01 16:41:56,0.00 , 0.00 , 0.80,2.41
2023-05-01 16:41:58,0.00 , 0.00 , 0.00,6.26
2023-05-01 16:42:00,0.00 , 0.00 , 0.00,5.82
2023-05-01 16:42:02,0.00 , 0.00 , 0.00,1.5
2023-05-01 16:42:04,0.00 , 0.00 , 71.60,5.48
2023-05-01 16:42:06,0.00 , 0.00 , 0.80,1.86
2023-05-01 16:42:08,0.00 , 0.00 , 0.00,6.22
2023-05-01 16:42:10,0.00 , 0.00 , 0.00,5.66
2023-05-01 16:42:12,0.00 , 0.00 , 0.00,1.95
2023-05-01 16:42:14,0.00 , 0.00 , 0.00,5.2
2023-05-01 16:42:16,0.00 , 0.00 , 0.80,2.41
2023-05-01 16:42:18,0.00 , 0.00 , 0.00,5.68
2023-05-01 16:42:20,0.00 , 0.00 , 0.40,6.56
2023-05-01 16:42:22,0.00 , 0.00 , 0.00,1.75
2023-05-01 16:42:24,0.00 , 0.00 , 0.00,6.59
2023-05-01 16:42:26,0.00 , 0.00 , 0.40,6.21
2023-05-01 16:42:28,0.00 , 0.00 , 0.00,5.83
2023-05-01 16:42:30,0.00 , 0.00 , 0.40,5.27
2023-05-01 16:42:32,0.00 , 0.00 , 0.00,2.15
2023-05-01 16:42:34,0.00 , 0.00 , 0.00,5.33
2023-05-01 16:42:36,0.00 , 0.00 , 88.40,5.27
2023-05-01 16:42:38,0.00 , 0.00 , 0.00,5.81
2023-05-01 16:42:40,0.00 , 0.00 , 0.00,5.57
2023-05-01 16:42:42,0.00 , 0.00 , 0.40,2.35
2023-05-01 16:42:44,0.00 , 0.00 , 0.00,5.37
2023-05-01 16:42:46,0.00 , 0.00 , 0.80,5.6
2023-05-01 16:42:48,0.00 , 0.00 , 0.00,6.12
2023-05-01 16:42:50,0.00 , 0.00 , 0.00,5.8
2023-05-01 16:42:52,0.00 , 0.00 , 0.40,3.25
2023-05-01 16:42:54,0.00 , 0.00 , 0.00,5.72
2023-05-01 16:42:56,0.00 , 0.00 , 0.00,0.7
2023-05-01 16:42:58,0.00 , 0.00 , 0.00,6.33
2023-05-01 16:43:00,0.00 , 0.00 , 0.80,6.18
2023-05-01 16:43:02,0.00 , 0.00 , 0.00,3.05
2023-05-01 16:43:04,0.00 , 0.00 , 0.00,4.87
2023-05-01 16:43:06,0.00 , 0.00 , 27.60,0.8
2023-05-01 16:43:08,0.00 , 0.00 , 0.00,6.12
2023-05-01 16:43:10,0.00 , 0.00 , 0.40,5.59
2023-05-01 16:43:12,0.00 , 0.00 , 0.00,3.76
2023-05-01 16:43:14,0.00 , 0.00 , 0.40,6.11
2023-05-01 16:43:16,0.00 , 0.00 , 0.00,5.55
2023-05-01 16:43:18,0.00 , 0.00 , 0.00,6.16
2023-05-01 16:43:20,0.00 , 0.00 , 0.40,5.7
2023-05-01 16:43:22,0.00 , 0.00 , 0.00,4.72
2023-05-01 16:43:24,0.00 , 0.00 , 0.00,6.3
2023-05-01 16:43:26,0.00 , 0.00 , 0.00,5.67
2023-05-01 16:43:28,0.00 , 0.00 , 0.00,6.5
2023-05-01 16:43:30,0.00 , 0.00 , 0.80,1.2
2023-05-01 16:43:32,0.00 , 0.00 , 0.40,5.36
2023-05-01 16:43:34,0.00 , 0.00 , 0.00,5.76
2023-05-01 16:43:36,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:43:38,0.00 , 0.00 , 93.20,8.94
2023-05-01 16:43:40,0.00 , 0.00 , 0.80,5.29
2023-05-01 16:43:42,0.00 , 0.00 , 0.00,5.25
2023-05-01 16:43:44,0.00 , 0.00 , 0.40,5.04
2023-05-01 16:43:46,0.00 , 0.00 , 0.00,2.25
2023-05-01 16:43:48,0.00 , 0.00 , 0.00,6.22
2023-05-01 16:43:50,0.00 , 0.00 , 0.80,6.4
2023-05-01 16:43:52,0.00 , 0.00 , 0.00,5.36
2023-05-01 16:43:54,0.00 , 0.00 , 0.00,5.59
2023-05-01 16:43:56,0.00 , 0.00 , 0.00,0.1
2023-05-01 16:43:58,0.00 , 0.00 , 0.00,6.06
2023-05-01 16:44:00,0.00 , 0.00 , 0.80,3.06
2023-05-01 16:44:02,0.00 , 0.00 , 0.00,5.66
2023-05-01 16:44:04,0.00 , 0.00 , 0.40,5.17
2023-05-01 16:44:06,0.00 , 0.00 , 0.00,5.64
2023-05-01 16:44:08,0.00 , 0.00 , 0.00,6.26
2023-05-01 16:44:10,0.00 , 0.00 , 1.20,3.4
2023-05-01 16:44:12,0.00 , 0.00 , 0.00,4.96
2023-05-01 16:44:14,0.00 , 0.00 , 18.80,8.52
2023-05-01 16:44:16,0.00 , 0.00 , 55.20,5.93
2023-05-01 16:44:18,0.00 , 0.00 , 0.00,6.53
2023-05-01 16:44:20,0.00 , 0.00 , 0.80,3.55
2023-05-01 16:44:22,0.00 , 0.00 , 0.00,3.05
2023-05-01 16:44:24,0.00 , 0.00 , 0.00,4.98
2023-05-01 16:44:26,0.00 , 0.00 , 0.00,0.85
2023-05-01 16:44:28,0.00 , 0.00 , 0.00,5.73
2023-05-01 16:44:30,0.00 , 0.00 , 0.80,3.35
2023-05-01 16:44:32,0.00 , 0.00 , 0.00,5.51
2023-05-01 16:44:35,0.00 , 0.00 , 0.00,5.58
2023-05-01 16:44:37,0.00 , 0.00 , 0.00,0.95
2023-05-01 16:44:39,0.00 , 0.00 , 0.00,3.7
2023-05-01 16:44:41,0.00 , 0.00 , 0.80,1.85
2023-05-01 16:44:43,0.00 , 0.00 , 0.00,4.1
2023-05-01 16:44:45,0.00 , 0.00 , 0.00,3.42
2023-05-01 16:44:47,0.00 , 0.00 , 0.00,2.55
2023-05-01 16:44:49,0.00 , 0.00 , 58.40,5.47
2023-05-01 16:44:51,0.00 , 0.00 , 0.80,5.16
2023-05-01 16:44:53,0.00 , 0.00 , 0.00,5.81
2023-05-01 16:44:55,0.00 , 0.00 , 0.00,6.25
2023-05-01 16:44:57,0.00 , 0.00 , 0.00,2
2023-05-01 16:44:59,0.00 , 0.00 , 0.00,5.86
2023-05-01 16:45:01,0.00 , 0.00 , 0.80,5.01
2023-05-01 16:45:03,0.00 , 0.00 , 0.00,5.33
2023-05-01 16:45:05,0.00 , 0.00 , 0.00,5.31
2023-05-01 16:45:07,0.00 , 0.00 , 0.00,2.85
2023-05-01 16:45:09,0.00 , 0.00 , 0.00,4.81
2023-05-01 16:45:11,0.00 , 0.00 , 0.40,1.05
2023-05-01 16:45:13,0.00 , 0.00 , 0.00,3.16
2023-05-01 16:45:15,0.00 , 0.00 , 0.40,2.85
2023-05-01 16:45:17,0.00 , 0.00 , 0.00,2.95
2023-05-01 16:45:19,0.00 , 0.00 , 0.00,6.28
2023-05-01 16:45:21,0.00 , 0.00 , 2.00,1.35
2023-05-01 16:45:23,0.00 , 0.00 , 0.00,6.81
2023-05-01 16:45:25,0.00 , 0.00 , 0.00,6.01
2023-05-01 16:45:27,0.00 , 0.00 , 0.00,3.56
2023-05-01 16:45:29,0.00 , 0.00 , 0.00,0.95
2023-05-01 16:45:31,0.00 , 0.00 , 0.80,0.05
2023-05-01 16:45:33,0.00 , 0.00 , 0.00,0.3
2023-05-01 16:45:35,0.00 , 0.00 , 0.00,0.1
2023-05-01 16:45:37,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:45:39,0.00 , 0.00 , 0.00,0
2023-05-01 16:45:41,0.00 , 0.00 , 0.00,0
2023-05-01 16:45:43,0.00 , 0.00 , 0.00,0
2023-05-01 16:45:45,0.00 , 0.00 , 1.20,0
2023-05-01 16:45:47,0.00 , 0.00 , 0.00,0
2023-05-01 16:45:49,0.00 , 0.00 , 0.00,0
2023-05-01 16:45:51,0.00 , 0.00 , 0.00,0
2023-05-01 16:45:53,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:45:55,0.00 , 0.00 , 1.20,0
2023-05-01 16:45:57,0.00 , 0.00 , 0.00,0
2023-05-01 16:45:59,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:46:01,0.00 , 0.00 , 0.80,0
2023-05-01 16:46:03,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:46:05,0.00 , 0.00 , 0.80,0
2023-05-01 16:46:07,0.00 , 0.00 , 0.00,0
2023-05-01 16:46:09,0.00 , 0.00 , 0.00,0.2
2023-05-01 16:46:11,0.00 , 0.00 , 0.40,0.05
2023-05-01 16:46:13,0.00 , 0.00 , 0.00,0
2023-05-01 16:46:15,0.00 , 0.00 , 0.80,0
2023-05-01 16:46:17,0.00 , 0.00 , 0.00,0.1
2023-05-01 16:46:19,0.00 , 0.00 , 0.00,0
2023-05-01 16:46:21,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:46:23,0.00 , 0.00 , 0.00,0
2023-05-01 16:46:25,0.00 , 0.00 , 0.80,1.2
2023-05-01 16:46:27,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:46:29,0.00 , 0.00 , 0.00,0
2023-05-01 16:46:31,0.00 , 0.00 , 0.00,0
2023-05-01 16:46:33,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:46:35,0.00 , 0.00 , 0.80,0
2023-05-01 16:46:37,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:46:39,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:46:41,0.00 , 0.00 , 0.00,0.1
2023-05-01 16:46:43,0.00 , 0.00 , 0.00,0
2023-05-01 16:46:45,0.00 , 0.00 , 0.80,0
2023-05-01 16:46:47,0.00 , 0.00 , 0.40,0
2023-05-01 16:46:49,0.00 , 0.00 , 0.00,0.1
2023-05-01 16:46:51,0.00 , 0.00 , 0.40,0
2023-05-01 16:46:53,0.00 , 0.00 , 0.00,0
2023-05-01 16:46:55,0.00 , 0.00 , 0.80,0
2023-05-01 16:46:57,0.00 , 0.00 , 0.40,0
2023-05-01 16:46:59,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:01,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:03,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:05,0.00 , 0.00 , 0.80,0
2023-05-01 16:47:07,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:09,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:11,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:13,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:15,0.00 , 0.00 , 0.80,0
2023-05-01 16:47:18,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:20,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:22,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:24,0.00 , 0.00 , 0.00,0.1
2023-05-01 16:47:26,0.00 , 0.00 , 0.80,0
2023-05-01 16:47:28,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:30,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:32,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:34,0.00 , 0.00 , 0.40,0.05
2023-05-01 16:47:36,0.00 , 0.00 , 0.80,0
2023-05-01 16:47:38,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:47:40,0.00 , 0.00 , 0.40,0
2023-05-01 16:47:42,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:44,0.00 , 0.00 , 0.00,0.1
2023-05-01 16:47:46,0.00 , 0.00 , 0.80,0.05
2023-05-01 16:47:48,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:50,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:52,0.00 , 0.00 , 0.00,0
2023-05-01 16:47:54,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:47:56,0.00 , 0.00 , 0.80,0.05
2023-05-01 16:47:58,0.00 , 0.00 , 0.00,0
2023-05-01 16:48:00,0.00 , 0.00 , 0.00,0.1
2023-05-01 16:48:02,0.00 , 0.00 , 0.00,0
2023-05-01 16:48:04,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:48:06,0.00 , 0.00 , 0.80,0
2023-05-01 16:48:08,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:48:10,0.00 , 0.00 , 0.00,0
2023-05-01 16:48:12,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:48:14,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:48:16,0.00 , 0.00 , 0.80,0
2023-05-01 16:48:18,0.00 , 0.00 , 0.00,0
2023-05-01 16:48:20,0.00 , 0.00 , 0.00,0
2023-05-01 16:48:22,0.00 , 0.00 , 0.00,0
2023-05-01 16:48:24,0.00 , 0.00 , 0.00,0
2023-05-01 16:48:26,0.00 , 0.00 , 0.00,0
2023-05-01 16:48:28,0.00 , 0.00 , 0.00,0
2023-05-01 16:48:30,0.00 , 0.00 , 0.80,0.15
2023-05-01 16:48:32,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:48:34,0.00 , 0.00 , 0.00,0.05
2023-05-01 16:48:36,0.00 , 0.00 , 0.40,0.1
2023-05-01 16:48:38,0.00 , 0.00 , 0.00,0
2023-05-01 16:48:40,0.00 , 0.00 , 0.80,0
2023-05-01 16:48:42,0.00 , 0.00 , 0.00,0
2023-05-01 16:48:44,0.00 , 0.00 , 0.00,0
2023-05-01 16:48:46,0.00 , 0.00 , 0.00,0.1
2023-05-01 16:48:48,0.00 , 0.00 , 0.00,0.25
2023-05-01 16:48:50,0.00 , 0.00 , 0.80,0.05
2023-05-01 16:48:52,0.00 , 0.00 , 0.00,0.05
