Time,Read/s,Write/s,util%
2023-05-01 16:40:17,0.00 , 0.00 , 0.00
2023-05-01 16:40:19,0.00 , 0.00 , 0.00
2023-05-01 16:40:21,0.00 , 0.00 , 0.00
2023-05-01 16:40:23,0.00 , 0.00 , 0.00
2023-05-01 16:40:25,0.00 , 0.00 , 0.80
2023-05-01 16:40:27,0.00 , 0.00 , 0.00
2023-05-01 16:40:29,0.00 , 0.00 , 0.00
2023-05-01 16:40:31,0.00 , 0.00 , 0.00
2023-05-01 16:40:33,0.00 , 0.00 , 0.00
2023-05-01 16:40:35,0.00 , 0.00 , 1.20
2023-05-01 16:40:37,0.00 , 0.00 , 0.00
2023-05-01 16:40:39,0.00 , 0.00 , 0.00
2023-05-01 16:40:41,0.00 , 0.00 , 0.40
2023-05-01 16:40:43,0.00 , 0.00 , 0.00
2023-05-01 16:40:45,0.00 , 0.00 , 0.80
2023-05-01 16:40:47,0.00 , 0.00 , 0.00
2023-05-01 16:40:49,0.00 , 0.00 , 0.00
2023-05-01 16:40:51,0.00 , 0.00 , 0.40
2023-05-01 16:40:53,0.00 , 0.00 , 0.00
2023-05-01 16:40:55,0.00 , 0.00 , 0.80
2023-05-01 16:40:57,0.00 , 0.00 , 0.00
2023-05-01 16:40:59,0.00 , 0.00 , 0.00
2023-05-01 16:41:01,0.00 , 0.00 , 0.00
2023-05-01 16:41:03,0.00 , 0.00 , 0.00
2023-05-01 16:41:05,0.00 , 0.00 , 0.80
2023-05-01 16:41:07,0.00 , 0.00 , 0.00
2023-05-01 16:41:09,0.00 , 0.00 , 0.00
2023-05-01 16:41:11,0.00 , 0.00 , 0.00
2023-05-01 16:41:13,0.00 , 0.00 , 0.00
2023-05-01 16:41:15,0.00 , 0.00 , 0.80
2023-05-01 16:41:17,0.00 , 0.00 , 0.00
2023-05-01 16:41:19,0.00 , 0.00 , 0.00
2023-05-01 16:41:21,0.00 , 0.00 , 0.00
2023-05-01 16:41:23,0.00 , 0.00 , 0.00
2023-05-01 16:41:25,0.00 , 0.00 , 0.80
2023-05-01 16:41:27,0.00 , 0.00 , 0.00
2023-05-01 16:41:29,0.00 , 0.00 , 0.00
2023-05-01 16:41:31,0.00 , 0.00 , 0.40
2023-05-01 16:41:33,0.00 , 0.00 , 0.00
