Time, cpu%
2023-05-01 21:31:28,8.86
2023-05-01 21:31:30,8.92
2023-05-01 21:31:32,12.46
2023-05-01 21:31:34,14.91
2023-05-01 21:31:36,14.99
2023-05-01 21:31:38,20.17
2023-05-01 21:31:40,18.94
2023-05-01 21:31:42,19.51
2023-05-01 21:31:44,18.78
2023-05-01 21:31:46,17.22
2023-05-01 21:31:48,20.05
2023-05-01 21:31:50,19.45
2023-05-01 21:31:52,18.94
2023-05-01 21:31:54,25.81
2023-05-01 21:31:56,27.79
2023-05-01 21:31:58,28.74
2023-05-01 21:32:00,25.52
2023-05-01 21:32:02,24.96
2023-05-01 21:32:05,29.12
2023-05-01 21:32:07,26.92
2023-05-01 21:32:09,28.87
2023-05-01 21:32:11,26.64
2023-05-01 21:32:13,25.06
2023-05-01 21:32:15,25.1
2023-05-01 21:32:17,30.24
2023-05-01 21:32:19,24.06
2023-05-01 21:32:21,28.15
2023-05-01 21:32:23,33.8
2023-05-01 21:32:25,40.57
2023-05-01 21:32:27,35.76
2023-05-01 21:32:29,32.64
2023-05-01 21:32:31,36.46
2023-05-01 21:32:33,38.91
2023-05-01 21:32:35,35.58
2023-05-01 21:32:37,37.43
2023-05-01 21:32:39,34.81
2023-05-01 21:32:41,34.23
2023-05-01 21:32:43,37.75
2023-05-01 21:32:45,28.5
2023-05-01 21:32:47,38.52
2023-05-01 21:32:49,37.74
2023-05-01 21:32:51,33.57
2023-05-01 21:32:53,37.75
2023-05-01 21:32:55,39.35
2023-05-01 21:32:57,36.59
2023-05-01 21:32:59,34.59
2023-05-01 21:33:01,31.34
2023-05-01 21:33:03,37.46
2023-05-01 21:33:05,36.72
2023-05-01 21:33:07,35.78
2023-05-01 21:33:09,30.46
2023-05-01 21:33:11,34.33
2023-05-01 21:33:13,36.77
2023-05-01 21:33:15,36.04
2023-05-01 21:33:17,40.19
2023-05-01 21:33:19,39.87
2023-05-01 21:33:21,33.67
2023-05-01 21:33:23,38.63
2023-05-01 21:33:25,38.12
2023-05-01 21:33:27,36.23
2023-05-01 21:33:29,33.97
2023-05-01 21:33:31,38.12
2023-05-01 21:33:33,37.92
2023-05-01 21:33:35,35.07
2023-05-01 21:33:37,35.7
2023-05-01 21:33:39,33.48
2023-05-01 21:33:41,33.9
2023-05-01 21:33:43,32.12
2023-05-01 21:33:45,35.29
2023-05-01 21:33:47,31.17
2023-05-01 21:33:49,35.67
2023-05-01 21:33:51,28.87
2023-05-01 21:33:53,40.05
2023-05-01 21:33:55,35.38
2023-05-01 21:33:57,36.39
2023-05-01 21:33:59,35.34
2023-05-01 21:34:01,40.62
2023-05-01 21:34:03,33.92
2023-05-01 21:34:05,36.28
2023-05-01 21:34:07,37.84
2023-05-01 21:34:09,39.12
2023-05-01 21:34:11,35.68
2023-05-01 21:34:13,36.3
2023-05-01 21:34:15,33.52
2023-05-01 21:34:17,30.56
2023-05-01 21:34:19,32.36
2023-05-01 21:34:21,36.95
2023-05-01 21:34:23,32.93
2023-05-01 21:34:25,29.08
2023-05-01 21:34:27,35.91
2023-05-01 21:34:29,35.79
2023-05-01 21:34:31,37.77
2023-05-01 21:34:33,35.73
2023-05-01 21:34:35,34.7
2023-05-01 21:34:37,38.26
2023-05-01 21:34:39,36.77
2023-05-01 21:34:41,34.19
2023-05-01 21:34:43,35.92
2023-05-01 21:34:45,35.12
2023-05-01 21:34:47,36.51
2023-05-01 21:34:49,35.49
2023-05-01 21:34:51,35.15
2023-05-01 21:34:53,36.83
2023-05-01 21:34:55,34.47
2023-05-01 21:34:57,35.19
2023-05-01 21:34:59,33.42
2023-05-01 21:35:01,39.75
2023-05-01 21:35:03,36.92
2023-05-01 21:35:06,34.32
2023-05-01 21:35:08,36.54
2023-05-01 21:35:10,37.7
2023-05-01 21:35:12,27.39
2023-05-01 21:35:14,37.39
2023-05-01 21:35:16,35.65
2023-05-01 21:35:18,33.86
2023-05-01 21:35:20,33.71
2023-05-01 21:35:22,34.8
2023-05-01 21:35:24,35.92
2023-05-01 21:35:26,37.87
2023-05-01 21:35:28,34.64
2023-05-01 21:35:30,35.82
2023-05-01 21:35:32,37.03
2023-05-01 21:35:34,38.66
2023-05-01 21:35:36,34.91
2023-05-01 21:35:38,35.98
2023-05-01 21:35:40,38.08
2023-05-01 21:35:42,35.37
2023-05-01 21:35:44,35.34
2023-05-01 21:35:46,35.07
2023-05-01 21:35:48,37.04
2023-05-01 21:35:50,36.27
2023-05-01 21:35:52,36.12
2023-05-01 21:35:54,34.07
2023-05-01 21:35:56,34.6
2023-05-01 21:35:58,36.32
2023-05-01 21:36:00,33.3
2023-05-01 21:36:02,37.21
2023-05-01 21:36:04,34.71
2023-05-01 21:36:06,37.76
2023-05-01 21:36:08,34.22
2023-05-01 21:36:10,36.31
2023-05-01 21:36:12,35.53
2023-05-01 21:36:14,37.42
2023-05-01 21:36:16,36.44
2023-05-01 21:36:18,34.02
2023-05-01 21:36:20,33.03
2023-05-01 21:36:22,33.99
2023-05-01 21:36:24,35.05
2023-05-01 21:36:26,35.41
2023-05-01 21:36:28,37.08
2023-05-01 21:36:30,39.1
2023-05-01 21:36:32,38.25
2023-05-01 21:36:34,37.03
2023-05-01 21:36:36,35.73
2023-05-01 21:36:38,39.44
2023-05-01 21:36:40,40.04
2023-05-01 21:36:42,33.79
2023-05-01 21:36:44,36.89
2023-05-01 21:36:46,35.8
2023-05-01 21:36:48,36.16
2023-05-01 21:36:50,35.08
2023-05-01 21:36:52,34.97
2023-05-01 21:36:54,34.4
2023-05-01 21:36:56,39.44
2023-05-01 21:36:58,33.67
2023-05-01 21:37:00,35.45
2023-05-01 21:37:02,34.71
2023-05-01 21:37:04,36.53
2023-05-01 21:37:06,36.77
2023-05-01 21:37:08,36.47
2023-05-01 21:37:10,35.02
2023-05-01 21:37:12,34.66
2023-05-01 21:37:14,37.52
2023-05-01 21:37:16,34.93
2023-05-01 21:37:18,37
2023-05-01 21:37:20,36.21
2023-05-01 21:37:22,39.42
2023-05-01 21:37:24,36.31
2023-05-01 21:37:26,35.88
2023-05-01 21:37:28,35.37
2023-05-01 21:37:30,36.04
2023-05-01 21:37:32,38.83
2023-05-01 21:37:34,36.83
2023-05-01 21:37:36,36.29
2023-05-01 21:37:38,34.96
2023-05-01 21:37:40,36.88
2023-05-01 21:37:42,34.54
2023-05-01 21:37:44,35.63
2023-05-01 21:37:46,35.41
2023-05-01 21:37:48,37.83
2023-05-01 21:37:50,36.78
2023-05-01 21:37:52,35.71
2023-05-01 21:37:54,35.44
2023-05-01 21:37:56,35.35
2023-05-01 21:37:58,35.66
2023-05-01 21:38:00,36.61
2023-05-01 21:38:02,32.74
2023-05-01 21:38:04,1.16
2023-05-01 21:38:06,1.96
2023-05-01 21:38:08,0.3
2023-05-01 21:38:11,0.05
