Time, KB_Written
[2023-05-02 19:19:26] 1413645468
[2023-05-02 19:19:27] 224
[2023-05-02 19:19:28] 332
[2023-05-02 19:19:29] 0
[2023-05-02 19:19:30] 0
[2023-05-02 19:19:31] 0
[2023-05-02 19:19:32] 72
[2023-05-02 19:19:33] 136
[2023-05-02 19:19:34] 0
[2023-05-02 19:19:35] 0
[2023-05-02 19:19:36] 0
[2023-05-02 19:19:37] 72
[2023-05-02 19:19:38] 232
[2023-05-02 19:19:39] 250268
[2023-05-02 19:19:40] 0
[2023-05-02 19:19:41] 0
[2023-05-02 19:19:42] 84
[2023-05-02 19:19:43] 136
[2023-05-02 19:19:44] 223900
[2023-05-02 19:19:45] 161792
[2023-05-02 19:19:46] 626688
[2023-05-02 19:19:47] 221184
[2023-05-02 19:19:48] 221260
[2023-05-02 19:19:49] 116
[2023-05-02 19:19:50] 0
[2023-05-02 19:19:51] 0
[2023-05-02 19:19:52] 0
[2023-05-02 19:19:53] 100
[2023-05-02 19:19:54] 20
[2023-05-02 19:19:55] 0
[2023-05-02 19:19:56] 0
[2023-05-02 19:19:57] 0
[2023-05-02 19:19:58] 218912
[2023-05-02 19:19:59] 0
[2023-05-02 19:20:00] 0
[2023-05-02 19:20:01] 0
[2023-05-02 19:20:02] 0
[2023-05-02 19:20:03] 308
[2023-05-02 19:20:04] 0
[2023-05-02 19:20:05] 0
[2023-05-02 19:20:06] 0
[2023-05-02 19:20:07] 0
[2023-05-02 19:20:08] 120
[2023-05-02 19:20:09] 0
[2023-05-02 19:20:10] 0
[2023-05-02 19:20:11] 0
[2023-05-02 19:20:12] 220192
[2023-05-02 19:20:13] 66444
[2023-05-02 19:20:14] 65968
[2023-05-02 19:20:15] 65964
[2023-05-02 19:20:16] 65972
[2023-05-02 19:20:17] 131940
[2023-05-02 19:20:18] 42720
[2023-05-02 19:20:19] 0
[2023-05-02 19:20:20] 0
[2023-05-02 19:20:21] 0
[2023-05-02 19:20:22] 0
[2023-05-02 19:20:23] 184
[2023-05-02 19:20:24] 216
[2023-05-02 19:20:25] 0
[2023-05-02 19:20:26] 0
[2023-05-02 19:20:27] 161792
[2023-05-02 19:20:28] 58380
[2023-05-02 19:20:29] 0
[2023-05-02 19:20:30] 0
[2023-05-02 19:20:31] 0
[2023-05-02 19:20:32] 0
[2023-05-02 19:20:33] 160
[2023-05-02 19:20:34] 12
[2023-05-02 19:20:35] 0
[2023-05-02 19:20:36] 100
[2023-05-02 19:20:37] 0
[2023-05-02 19:20:38] 20
[2023-05-02 19:20:39] 0
[2023-05-02 19:20:40] 0
[2023-05-02 19:20:41] 112
[2023-05-02 19:20:42] 220016
[2023-05-02 19:20:43] 65984
[2023-05-02 19:20:44] 66204
[2023-05-02 19:20:45] 65980
[2023-05-02 19:20:46] 66064
[2023-05-02 19:20:47] 0
