Date and Time,CPU Usage (%),Disk Usage (%)
2023/03/27 17:15:12,17.16%,3%
2023/03/27 17:15:14,15.06%,3%
2023/03/27 17:15:17,16.41%,3%
2023/03/27 17:15:19,13.84%,3%
2023/03/27 17:15:21,18.6%,3%
2023/03/27 17:15:23,17.5%,3%
2023/03/27 17:15:26,22.8%,3%
2023/03/27 17:15:28,13.93%,3%
2023/03/27 17:15:30,17.05%,3%
2023/03/27 17:15:32,13.67%,3%
2023/03/27 17:15:34,15.24%,3%
2023/03/27 17:15:37,12.27%,3%
2023/03/27 17:15:39,13.8%,3%
2023/03/27 17:15:41,15.72%,3%
2023/03/27 17:15:43,14.66%,3%
2023/03/27 17:15:46,17.5%,3%
2023/03/27 17:15:48,12.84%,3%
2023/03/27 17:15:50,13.95%,3%
2023/03/27 17:15:52,15.9%,3%
2023/03/27 17:15:54,14.44%,3%
2023/03/27 17:15:57,16.1%,3%
2023/03/27 17:15:59,14.83%,3%
2023/03/27 17:16:01,14.75%,3%
2023/03/27 17:16:03,13.48%,3%
2023/03/27 17:16:05,19.88%,3%
2023/03/27 17:16:08,12.91%,3%
2023/03/27 17:16:10,17.7%,3%
2023/03/27 17:16:12,14.04%,3%
2023/03/27 17:16:14,17.21%,3%
2023/03/27 17:16:16,12.56%,3%
2023/03/27 17:16:19,13.03%,3%
2023/03/27 17:16:21,13.25%,3%
2023/03/27 17:16:23,17.38%,3%
2023/03/27 17:16:25,12.29%,3%
2023/03/27 17:16:28,14.2%,3%
2023/03/27 17:16:30,20.42%,3%
2023/03/27 17:16:32,15.94%,3%
2023/03/27 17:16:34,17.79%,3%
2023/03/27 17:16:36,12.76%,3%
2023/03/27 17:16:39,11.46%,3%
2023/03/27 17:16:41,13.01%,3%
2023/03/27 17:16:43,14.65%,3%
2023/03/27 17:16:45,21.18%,3%
2023/03/27 17:16:47,14.65%,3%
2023/03/27 17:16:50,16.74%,3%
2023/03/27 17:16:52,27.36%,3%
2023/03/27 17:16:54,13.91%,3%
2023/03/27 17:16:56,12.49%,3%
2023/03/27 17:16:59,12.04%,3%
2023/03/27 17:17:01,12.69%,3%
2023/03/27 17:17:03,14.35%,3%
2023/03/27 17:17:05,17.92%,3%
2023/03/27 17:17:07,13.26%,3%
2023/03/27 17:17:10,17.96%,3%
2023/03/27 17:17:12,12.35%,3%
2023/03/27 17:17:14,15.63%,3%
2023/03/27 17:17:16,13.88%,3%
2023/03/27 17:17:19,17.77%,3%
2023/03/27 17:17:21,14.2%,3%
2023/03/27 17:17:23,16.92%,3%
2023/03/27 17:17:25,12.76%,3%
2023/03/27 17:17:27,11.65%,3%
2023/03/27 17:17:30,13.65%,3%
2023/03/27 17:17:32,11.79%,3%
2023/03/27 17:17:34,11.85%,3%
